"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773321105884016E9,"2026-03-12 21:11:45.884 UTC+08:00"
"PAUSE",1.903626858326606E1,1.773321124919949E9,"2026-03-12 21:12:04.920 UTC+08:00"
