"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.00702241667,0.0134673843,-1.23525842,-11.3190373
0.0169804167,0.257675954,-0.87298578,-9.96975499
0.0269384167,0.654065966,-0.421978043,-9.01671309
0.0368964167,0.740556501,-0.266803848,-8.69065275
0.0468534167,0.722151076,-0.365415028,-8.87889686
0.0568114167,0.610820699,-0.503829812,-9.23533363
0.0667694167,0.575805499,-0.737264474,-9.61197148
0.0767274167,0.546626167,-0.954388637,-9.89927568
0.0866854167,0.564283404,-1.05195235,-10.0302086
0.0966434167,0.55515551,-1.01992991,-9.87877533
0.106600417,0.543783052,-0.902015475,-9.54613093
0.116558417,0.604685557,-0.838419494,-9.36776291
0.126516417,0.691325729,-0.831685802,-9.24281551
0.136474417,0.761356128,-0.849193401,-9.0147678
0.146432417,0.835576379,-0.862062235,-8.84014072
0.156390417,0.956333926,-0.883909325,-8.93620806
0.166347417,1.03788642,-0.85428108,-9.31703576
0.176305417,1.00047702,-0.831835439,-9.72135657
0.186263542,0.897077435,-0.845452461,-9.9865144
0.196221542,0.70628949,-0.905606778,-10.0240734
0.206179542,0.421678767,-0.989104561,-9.75487539
0.216137542,0.261117619,-1.06781394,-9.411906
0.226094542,0.217722713,-1.06227735,-9.18610286
0.236052542,0.278774856,-0.972494787,-9.23293943
0.246010542,0.469413163,-0.834828191,-9.46008931
0.255968542,0.630273587,-0.709132604,-9.76026234
0.265926542,0.714968471,-0.589721796,-9.8766804
0.275884542,0.705840577,-0.550666382,-9.82984383
0.285842542,0.648679012,-0.585083031,-9.77492683
0.295799542,0.580893178,-0.694318481,-9.75472575
0.305757542,0.582090279,-0.802656107,-9.73916344
0.315715542,0.544680878,-0.800710818,-9.75278046
0.325673542,0.52268415,-0.715267746,-9.77971523
0.335631542,0.55889645,-0.613663813,-10.0068651
0.345589542,0.512808068,-0.672621029,-10.2395516
0.355546542,0.536750085,-0.779013365,-10.3064396
0.365504542,0.57266311,-0.869544115,-10.1315132
0.375462542,0.501585248,-0.925508579,-9.79183588
0.385420542,0.443226582,-1.01439332,-9.32212344
0.395378542,0.41404725,-1.0580875,-8.93351458
0.405336542,0.439336005,-1.09863929,-8.84911897
0.415294542,0.476146855,-1.16537766,-9.16889453
0.425251542,0.475548305,-1.21640408,-9.87862569
0.435209542,0.398634576,-1.21939683,-10.4886982
0.445167542,0.226252057,-1.15610013,-10.6862198
0.455125542,0.181061501,-1.08068277,-10.5500496
0.465083542,0.200664027,-1.04626613,-10.2197994
0.475041542,0.285209273,-1.01484223,-9.80216087
0.484998542,0.376338573,-0.954538274,-9.59730699
0.494956542,0.514005169,-0.984615433,-9.62813234
0.504914542,0.626083734,-1.00960491,-9.64938088
0.514872542,0.643292059,-0.931942996,-9.58249287
0.524830542,0.685190588,-0.766593444,-9.4246252
0.534788542,0.713472095,-0.685789138,-9.30940424
0.544746542,0.606181933,-0.740855776,-9.36162777
0.554703542,0.432901588,-0.847547388,-9.5006411
0.564661542,0.316333894,-0.853682529,-9.60897873
0.574619542,0.263960733,-0.829740513,-9.69367361
0.584577542,0.338031347,-0.766294169,-9.67167688
0.594535542,0.615609102,-0.667084438,-9.61840589
0.604493542,0.899022723,-0.547224717,-9.81951883
0.614451542,1.1563994,-0.35404257,-10.1210386
0.624408542,1.38295073,-0.150535429,-10.4053501
0.634366542,1.49697459,-0.0939724152,-10.4943844
0.644324542,1.41257898,-0.193780697,-10.5157826
0.654282542,1.04925888,-0.477044681,-10.5510971
0.664240542,0.569071807,-0.757764825,-10.4628109
0.674198542,0.180762225,-0.953191536,-10.2317704
0.684155542,0.154426007,-1.11554834,-10.05026
0.694113542,0.376039298,-1.15265846,-9.87623149
0.704071542,0.618302579,-1.02262338,-9.70968483
0.714029542,0.839317319,-0.791134011,-9.60239467
0.723987542,0.959925228,-0.609623598,-9.52368529
0.733945542,1.02247375,-0.539742837,-9.59835446
0.743903542,0.992396588,-0.555005872,-9.71387469
0.753860542,0.894383958,-0.607528671,-9.78839421
0.763818542,0.797718066,-0.688931528,-9.90900212
0.773776542,0.602740268,-0.830189426,-10.0118032
0.783734542,0.33099838,-1.02007954,-10.0522053
0.793692542,0.143951375,-1.10372697,-9.90630864
0.803650542,0.1448492,-1.07769002,-9.65761095
0.813608542,0.349553442,-1.00661216,-9.46143605
0.823565542,0.556352611,-0.878372734,-9.4481183
0.833523542,0.657956544,-0.778863728,-9.47999111
0.843481542,0.758513013,-0.795473502,-9.55840122
0.853439542,0.785148507,-0.756268449,-9.61242039
0.863397542,0.709282242,-0.7206547,-9.58219359
0.873355542,0.693420656,-0.73127897,-9.58713164
0.883313542,0.573710573,-0.745045629,-9.66509283
0.893270542,0.468216062,-0.751629684,-9.7039986
0.903228542,0.477493594,-0.838718769,-9.69831237
0.913186542,0.465522585,-0.931494083,-9.68125369
0.923144542,0.376039298,-0.985064346,-9.62977835
0.933102542,0.278625218,-0.995239703,-9.57800374
0.943060542,0.322618674,-0.9916484,-9.61182184
0.953018542,0.517895747,-0.906953516,-9.74784242
0.962976542,0.683694212,-0.780360104,-9.87997243
0.972933542,0.73501991,-0.675464143,-9.90989995
0.982891542,0.682048198,-0.673369217,-9.82325977
0.992849542,0.517596471,-0.775870975,-9.6956189
1.00280754,0.351498731,-0.870591579,-9.60359177
1.01276554,0.321421573,-0.954089362,-9.58922656
1.02272354,0.386813206,-0.94047234,-9.59401497
1.03268154,0.445920059,-0.852784704,-9.64294646
1.04263854,0.496198294,-0.754472798,-9.77417864
1.05259654,0.505775101,-0.680252547,-9.86530794
1.06255454,0.477044681,-0.631769963,-9.89912604
