"Time (s)","X (µT)","Y (µT)","Z (µT)"
0.0157344167,25.4892426,2.71205902,-43.8254089
0.0256924167,25.5485687,2.68099976,-43.9252625
0.0356504167,25.6103897,2.68718719,-43.8581543
0.0456074167,25.6088867,2.62300873,-43.8610535
0.0555654167,25.5228119,2.68813324,-43.8436279
0.0655234167,25.511055,2.65174103,-44.1167908
0.0754814167,25.511055,2.65174103,-44.1167908
0.0854394167,25.3206711,2.5500412,-43.934845
0.0953974167,25.4731369,2.383461,-43.9389343
0.105354417,25.5814972,2.38578796,-43.8805847
0.115312417,25.4695206,2.57956696,-43.8960571
0.125270417,25.4695206,2.57956696,-43.8960571
0.135228417,25.6725616,2.52363586,-43.8520508
0.145186417,25.4953308,2.54662323,-43.434082
0.155144417,25.5942078,2.80311584,-43.4121704
0.165102417,25.6568756,2.84978485,-43.6021118
0.175059417,25.7024078,2.91158295,-43.7716675
0.185017542,25.5779114,2.93864441,-43.815918
0.194975542,25.5806046,2.84361267,-43.7864075
0.204933542,25.6030731,2.90720367,-43.7483826
0.214891542,25.483017,2.9422226,-43.8609924
0.224849542,25.4089661,2.84210968,-43.9054565
0.234806542,25.4477844,2.92594147,-43.6324158
0.244764542,25.5031052,3.04598236,-43.7165222
0.254722542,25.54216,3.16105652,-43.8200378
0.264680542,25.3685532,3.21311951,-43.8193665
0.274638542,25.3416748,3.08883667,-43.8936462
0.284596542,25.226532,3.10839081,-43.9855347
0.294553542,25.3034821,3.19667053,-43.8581543
0.304511542,25.0980835,3.14642334,-43.8953857
0.314469542,25.3368301,3.282341,-43.8500671
0.324427542,25.1607513,3.21858978,-43.8465881
0.334385542,25.1503677,3.18152618,-43.9460754
0.344343542,25.195961,3.1869278,-43.8851013
0.354301542,25.3157349,3.25218964,-43.8779297
0.364258542,25.2213135,3.21016693,-43.7581482
0.374216542,25.2408447,3.2302475,-43.8009033
0.384174542,25.1506348,3.04238129,-44.056488
0.394132542,25.2923279,2.83514404,-43.7887878
0.404090542,25.187851,2.83891296,-44.0727844
0.414048542,25.2898941,2.9681778,-44.1384277
0.424005542,25.2435837,3.13839722,-44.0176697
0.433963542,25.1298904,3.29524994,-44.1455688
0.443921542,25.0579453,3.40458679,-44.1500244
0.453879542,25.2585068,3.38285065,-44.1065063
0.463837542,25.3553467,3.45218658,-43.8277588
0.473795542,25.3592072,3.55885315,-43.7344666
0.483753542,25.3592072,3.55885315,-43.7344666
0.493710542,25.3585968,3.45118713,-43.701355
0.503668542,25.4687195,3.64594269,-43.7039185
0.513626542,25.5504608,3.57907867,-43.809845
0.523584542,25.7342453,3.5223465,-43.7139893
0.533542542,25.559166,3.51068115,-43.5172424
0.543500542,25.5158539,3.51275635,-43.7127075
0.553458542,25.6533661,3.46901703,-43.7265625
0.563415542,25.3733292,3.49363708,-43.7635803
0.573373542,25.4129562,3.60051727,-43.8156433
0.583331542,25.459671,3.69113922,-43.8970642
0.593289542,25.4548035,3.82949066,-43.7632446
0.603247542,25.5075912,3.77063751,-43.6071777
0.613205542,25.4996796,4.00862122,-43.4054871
0.623162542,25.6553726,4.15756989,-43.4990234
0.633120542,25.7666321,4.2576828,-43.6150818
0.643078542,25.7708054,4.2734375,-43.8067932
0.653036542,25.8485413,4.20843506,-43.740387
0.662994542,25.9456177,4.12807465,-43.5542297
0.672952542,25.9204483,4.09577179,-43.5762634
0.682910542,25.9449463,4.1645813,-43.6557007
0.692867542,26.2502365,3.92311859,-43.8779297
0.702825542,26.2580719,3.84791565,-44.0748901
0.712783542,26.3759842,3.7375412,-44.0125427
0.722741542,26.3733673,3.76992035,-43.9008179
0.732699542,26.1535187,3.85975647,-43.7795715
0.742657542,25.8691101,3.73795319,-43.7797546
0.752615542,25.9213867,3.68016052,-43.8269043
0.762572542,25.6982498,3.62983704,-43.8486023
0.772530542,25.707489,3.61138916,-43.9017639
0.782488542,25.7558823,3.45911407,-43.9647522
0.792446542,25.8609543,3.26752472,-43.7717285
0.802404542,25.8003845,3.25907898,-43.5491638
0.812362542,25.9362335,3.30958557,-43.5821228
0.822320542,25.9734802,3.23927307,-43.8385925
0.832277542,25.9734802,3.23927307,-43.8385925
0.842235542,25.9236603,3.19446564,-43.7843933
0.852193542,25.89711,3.31235504,-43.8239136
0.862151542,25.8714676,3.13639832,-43.6640015
0.872109542,25.8152084,3.18360901,-43.7526245
0.882067542,25.9034805,3.25065613,-43.635437
0.892025542,26.181694,3.25106049,-43.6995239
0.901982542,25.9526138,3.12772369,-43.6545105
0.911940542,25.9477844,3.15345764,-43.6077576
0.921898542,25.843132,3.1647644,-43.694397
0.931856542,25.7489471,3.08161926,-43.7202454
0.941814542,25.8013,3.12722778,-43.6905212
0.951772542,25.6402588,3.14889526,-43.9554443
0.961730542,25.6949005,3.12985992,-43.8855286
0.971687542,25.6610641,3.16388702,-43.801178
0.981645542,25.5801086,3.12971497,-43.7644043
0.991603542,25.5802917,3.09353638,-43.8056641
1.00156154,25.6444244,3.09814453,-43.9315796
1.01151954,25.5700226,3.15518188,-43.9749451
