Time (s),Quaternion X,Quaternion Y,Quaternion Z,Quaternion W,Roll (rad),Pitch (rad),Yaw (rad),Gravity X (m/s^2),Gravity Y (m/s^2),Gravity Z (m/s^2),User Acceleration X (m/s^2),User Acceleration Y (m/s^2),User Acceleration Z (m/s^2),Rotation Rate X (rad/s),Rotation Rate Y (rad/s),Rotation Rate Z (rad/s),Magnetic Field X (µT),Magnetic Field Y (µT),Magnetic Field Z (µT),Magnetic Accuracy
0.0157344167,0.042036603,0.0265921575,9.5938128E-18,0.998762205,0.0533320227,0.0840681301,-0.00224361346,0.520914364,-0.823455953,-9.75812241,-0.388934509,-0.180461927,-0.547569,0.377051115,0.372855693,-0.198694065,25.4892426,2.71205902,-43.8254089,2
0.0256924167,0.0435493434,0.0280168848,-0.000875082511,0.998658046,0.056277439,0.0870426406,-0.0042039781,0.549513595,-0.852519258,-9.75405706,0.0318279841,0.341058732,0.561519784,0.239152104,0.180231914,-0.159903526,25.5485687,2.68099976,-43.9252625,2
0.0356504167,0.0444063277,0.028509619,-0.00157802753,0.998605465,0.0573366409,0.0887151497,-0.00570613965,0.55976231,-0.868857668,-9.75203227,0.169720497,0.589335501,1.0295073,0.119993597,0.0167123321,-0.119644195,25.6103897,2.68718719,-43.8581543,2
0.0456074167,0.0448090484,0.0284004937,-0.00207608426,0.998589661,0.0571667131,0.0894931923,-0.00671844726,0.558066392,-0.876457402,-9.75144951,0.187128399,0.548452505,0.944079424,0.0544287041,-0.0592985488,-0.0738593936,25.6088867,2.62300873,-43.8610535,2
0.0555654167,0.0450059382,0.0280636325,-0.00238797683,0.998589655,0.0565211257,0.0898718307,-0.00732490489,0.551752058,-0.880155672,-9.75147581,0.0803167052,0.408648386,0.611311697,0.0317348167,-0.0765600875,-0.0465318039,25.5228119,2.68813324,-43.8436279,2
0.0655234167,0.045157153,0.0277426599,-0.00261776146,0.998591195,0.0558996277,0.0901639389,-0.00776532675,0.545677049,-0.88300865,-9.75155998,0.0331206908,0.215326539,0.230568167,0.035884019,-0.0531602241,-0.0406201184,25.511055,2.65174103,-44.1167908,2
0.0754814167,0.0453842213,0.0275664225,-0.00284203374,0.998585226,0.0555692354,0.0906072615,-0.00821196469,0.542433391,-0.887338423,-9.7513478,0.00643682811,-0.0212603032,-0.091364863,0.0609306768,-0.018918734,-0.0437957421,25.511055,2.65174103,-44.1167908,2
0.0854394167,0.0457447037,0.0275827802,-0.0030866433,0.99856753,0.0556292694,0.0913149259,-0.00872443471,0.542983755,-0.894249518,-9.75068554,0.0123209177,-0.152165442,-0.267851311,0.0853531957,0.023616476,-0.0519428849,25.3206711,2.5500412,-43.934845,2
0.0953974167,0.0461577308,0.0278371984,-0.00339631168,0.998540433,0.0561742732,0.0921218759,-0.00939247657,0.548257129,-0.902129749,-9.74966438,0.0170732268,-0.139347169,-0.192557293,0.0803448558,0.0725126415,-0.071166113,25.4731369,2.383461,-43.9389343,2
0.105354417,0.0464593721,0.0282877123,-0.00378163939,0.998512395,0.0571188082,0.0926992762,-0.0102245629,0.557435949,-0.907767975,-9.748621,-0.0167957981,-0.0270172593,0.124977794,0.0416334122,0.0998976678,-0.0894287378,25.5814972,2.38578796,-43.8805847,2
0.115312417,0.0465500138,0.0288877671,-0.0042325177,0.998489228,0.0583666896,0.0928481854,-0.0111901303,0.569592762,-0.909221973,-9.74778222,0.0163876192,0.0628724896,0.353234177,0.000997413648,0.134521246,-0.101318546,25.4695206,2.57956696,-43.8960571,2
0.125270417,0.0464407879,0.0296255362,-0.0047042715,0.998470537,0.0598895795,0.0925930343,-0.0121983745,0.584450761,-0.906730521,-9.74713515,0.0931078342,0.079684289,0.464516039,-0.0409678817,0.151528195,-0.10192015,25.4695206,2.57956696,-43.8960571,2
0.135228417,0.046091848,0.0303710905,-0.00516556462,0.998462123,0.0614223505,0.0918572849,-0.013170867,0.599430961,-0.899545944,-9.74689082,0.145015643,0.0543935612,0.67271689,-0.0964144021,0.133039713,-0.0989660919,25.6725616,2.52363586,-43.8520508,2
0.145186417,0.0454393297,0.0309151541,-0.00558936218,0.998473032,0.0625404807,0.0905178574,-0.0140290751,0.610403642,-0.88646522,-9.74740871,0.205420062,0.0270974119,0.881380684,-0.16080457,0.0718895346,-0.0854604021,25.4953308,2.54662323,-43.434082,2
0.155144417,0.0445369554,0.0310446828,-0.00592320796,0.998507744,0.0628123216,0.088689445,-0.0146521192,0.61315411,-0.868606615,-9.74884371,0.317291999,-0.0124587918,0.876530906,-0.188869342,-0.0266230516,-0.0598880202,25.5942078,2.80311584,-43.4121704,2
0.165102417,0.0436612889,0.0307447207,-0.0061186026,0.998554559,0.0622097243,0.0869295714,-0.014961275,0.607373444,-0.851414585,-9.75072178,0.420786056,-0.00780365949,0.538881251,-0.153206155,-0.0934982225,-0.0228434503,25.6568756,2.84978485,-43.6021118,2
0.175059417,0.0430821501,0.0302171632,-0.00614268396,0.998595591,0.0611414721,0.0857772102,-0.0149271887,0.59701641,-0.840155889,-9.75233798,0.419471357,0.0104161801,0.121063251,-0.0747943968,-0.11455366,0.0146748358,25.7024078,2.91158295,-43.7716675,2
0.185017542,0.0429217441,0.0296914961,-0.00601176824,0.998619036,0.060072344,0.0854719752,-0.0146096043,0.586604943,-0.837173585,-9.75322587,0.340399537,0.0024958354,-0.183159934,0.0102208983,-0.0886054188,0.0444388576,25.5779114,2.93864441,-43.815918,2
0.194975542,0.0431378738,0.0293668726,-0.00578316403,0.99862079,0.0594056442,0.0859227734,-0.014136645,0.580079889,-0.841578177,-9.75323756,0.185166306,-0.0450238215,-0.300614347,0.0686062425,-0.037233755,0.0533520691,25.5806046,2.84361267,-43.7864075,2
0.204933542,0.0434963341,0.0292913761,-0.00556987854,0.998608612,0.0592425804,0.0866537334,-0.0137243164,0.578452909,-0.848719719,-9.752715,-0.0883902311,-0.114047746,-0.0817675981,0.0665827766,0.0109526822,0.0346646681,25.6030731,2.90720367,-43.7483826,2
0.214891542,0.0437041206,0.0293815366,-0.00549871167,0.998597301,0.0594212209,0.0870724959,-0.0136021341,0.58017396,-0.852810934,-9.75225615,-0.295863024,-0.204228222,0.255954537,0.0124705993,0.0214439705,-0.00874723587,25.483017,2.9422226,-43.8609924,2
0.224849542,0.0435813142,0.0294228335,-0.00567575476,0.998600511,0.0595171747,0.086815665,-0.0139531951,0.581122712,-0.850301801,-9.75241864,-0.365645074,-0.21870851,0.538034279,-0.0582504421,-0.012839701,-0.0649058446,25.4089661,2.84210968,-43.9054565,2
0.234806542,0.0431671266,0.0292640759,-0.00610806474,0.998620612,0.0592279525,0.0859635065,-0.0147808868,0.578344772,-0.841976163,-9.75330595,-0.335184177,-0.155208097,0.555680995,-0.100294836,-0.0575821251,-0.105496764,25.4477844,2.92594147,-43.6324158,2
0.244764542,0.0426383755,0.0288885453,-0.00666987685,0.998650593,0.0585118145,0.0848781899,-0.0158429691,0.571413,-0.831371621,-9.75462404,-0.145095978,-0.0398177773,0.365762234,-0.0985379517,-0.10016235,-0.115319297,25.5031052,3.04598236,-43.7165222,2
0.254722542,0.0422028739,0.028361835,-0.00720469554,0.998680479,0.0574911272,0.08398439,-0.0168444434,0.561498778,-0.822637695,-9.75594039,0.0346569604,0.0873192409,0.0645113429,-0.0658106804,-0.118093714,-0.0914724916,25.54216,3.16105652,-43.8200378,2
0.264680542,0.0419686848,0.0277835607,-0.00758007784,0.998703893,0.0563574526,0.0835043866,-0.0175345795,0.550460521,-0.817946907,-9.75696389,0.149244367,0.20308687,-0.117322311,-0.0251793675,-0.121088177,-0.0513493083,25.3685532,3.21311951,-43.8193665,2
0.274638542,0.0418724937,0.0271770447,-0.00777193164,0.998723132,0.0551547098,0.0833119627,-0.0178628599,0.538733696,-0.816066427,-9.75777579,0.18371618,0.2671965,-0.0868821646,-0.0124671431,-0.125491813,-0.019094767,25.3416748,3.08883667,-43.8936462,2
0.284596542,0.0417828128,0.0265703987,-0.00786268124,0.998742471,0.0539434096,0.0831384526,-0.0179890606,0.526921313,-0.814370802,-9.75856255,0.135972724,0.242157409,-0.0156160868,-0.0240692049,-0.119510889,-0.0109012853,25.226532,3.10839081,-43.9855347,2
0.294553542,0.0415766021,0.0260454513,-0.0079485539,0.998764199,0.0528929577,0.082730737,-0.018106138,0.516687649,-0.810386189,-9.75944109,0.0748293233,0.151382986,0.00157294841,-0.0585895926,-0.0913761556,-0.019658979,25.3034821,3.19667053,-43.8581543,2
0.304511542,0.0411798541,0.0256923678,-0.00807261263,0.998788725,0.0521860381,0.0819367905,-0.0183041128,0.509821782,-0.802626661,-9.76044354,0.067329944,0.0155335962,0.0173895262,-0.09646561,-0.0516095683,-0.0262809284,25.0980835,3.14642334,-43.8953857,2
0.314469542,0.0406221701,0.0255700445,-0.00817486465,0.998813941,0.0519363843,0.080817865,-0.0184690884,0.507431343,-0.791690038,-9.7614612,0.0540084344,-0.0145565678,0.0158633396,-0.124621771,-0.000946820248,-0.0178378411,25.3368301,3.282341,-43.8500671,2
0.324427542,0.0399726936,0.0256349705,-0.00820669642,0.998838241,0.0520543719,0.079515519,-0.0185032391,0.508636262,-0.77895937,-9.76242274,0.0028245559,0.028826866,-0.00337619843,-0.131754249,0.0161003396,-0.00211240794,25.1607513,3.21858978,-43.8465881,2
0.334385542,0.0394205565,0.0257246832,-0.00816039234,0.998858262,0.0522180997,0.0784115761,-0.018387845,0.510279207,-0.768167123,-9.76319197,0.0475692682,0.135200936,-0.16421558,-0.0831493586,0.0236166473,0.0133179035,25.1503677,3.18152618,-43.9460754,2
0.344343542,0.0392390196,0.0258878951,-0.00803032283,0.998862266,0.0525311026,0.0780522025,-0.0181301922,0.513349555,-0.764653708,-9.76330712,0.00649093292,0.11986615,-0.434046666,0.0154158352,0.0438572057,0.0320092998,25.195961,3.1869278,-43.8851013,2
0.354301542,0.0396003984,0.0261194542,-0.00785796939,0.99884334,0.0529899124,0.0787801604,-0.0178226609,0.517799374,-0.771770554,-9.76251217,0.0105704573,0.0149044314,-0.550960396,0.126464754,0.0528154448,0.0351533592,25.3157349,3.25218964,-43.8779297,2
0.364258542,0.0404574649,0.0263445078,-0.00770983835,0.998804141,0.0534482906,0.0804988547,-0.0175907691,0.522202613,-0.788571759,-9.76093454,0.0522556359,-0.0678034432,-0.440010543,0.208638191,0.0421758518,0.0308464952,25.2213135,3.21016693,-43.7581482,2
0.374216542,0.0415762045,0.0264744878,-0.00759744879,0.998755605,0.0537243802,0.0827410337,-0.017437944,0.524801215,-0.810486873,-9.75899978,0.00835705559,-0.0994586646,-0.13848025,0.228678584,0.0172109716,0.0243697744,25.2408447,3.2302475,-43.8009033,2
0.384174542,0.0425862482,0.0264965,-0.0075209442,0.998713098,0.0537843257,0.0847658043,-0.0173424377,0.525296926,-0.830273451,-9.75730992,-0.0720451359,-0.164666173,0.317571327,0.166642919,-0.00313850702,0.0152846668,25.1506348,3.04238129,-44.056488,2
0.394132542,0.0431085959,0.0263800338,-0.0075023257,0.998693951,0.0535605909,0.0858140491,-0.0173240789,0.523067012,-0.840515882,-9.75655238,-0.101239082,-0.215775233,0.745675159,0.0389514752,-0.0464293547,-0.00112260552,25.2923279,2.83514404,-43.7887878,2
