Time (s),Quaternion X,Quaternion Y,Quaternion Z,Quaternion W,Roll (rad),Pitch (rad),Yaw (rad),Gravity X (m/s^2),Gravity Y (m/s^2),Gravity Z (m/s^2),User Acceleration X (m/s^2),User Acceleration Y (m/s^2),User Acceleration Z (m/s^2),Rotation Rate X (rad/s),Rotation Rate Y (rad/s),Rotation Rate Z (rad/s),Magnetic Field X (µT),Magnetic Field Y (µT),Magnetic Field Z (µT),Magnetic Accuracy
0.195915583,0.0459661268,0.0030500071,0.00200878955,0.998936343,0.00593396995,0.0919763493,0.00374876593,0.0579460569,-0.900708631,-9.76502678,-0.113761258,0.0765065358,-0.00376490549,-0.0612878911,-0.0580772012,0.0337153785,-3.05226898,19.3562317,-46.3484497,2
0.205873583,0.0456724173,0.00277011836,0.00219340763,0.99895019,0.00535644201,0.0913882484,0.00414648908,0.0523092977,-0.894965557,-9.76558675,-0.0434810581,0.0867746857,-0.0238549228,-0.0567727238,-0.0515362807,0.0439655967,-3.04877472,19.4118652,-46.125061,2
0.215830583,0.0453989353,0.00252410487,0.00241664484,0.998962776,0.00484353709,0.0908407782,0.00461815097,0.0473028403,-0.889619008,-9.76610055,-0.0312919638,0.0850193664,-0.0160088855,-0.0558174476,-0.0410484858,0.0493129566,-3.04447174,19.3789215,-46.1387634,2
0.225788583,0.0450901353,0.0023366934,0.00267023848,0.998976658,0.00444589897,0.0902228194,0.00514523812,0.0434218981,-0.883583747,-9.76666695,-0.0510537767,0.0942471404,-0.0115524906,-0.0695301443,-0.0306110308,0.0554043166,-3.04112244,19.315506,-46.1755676,2
0.235745583,0.0447087643,0.00220067501,0.00294596773,0.99899325,0.00415010534,0.0894597512,0.00571209764,0.0405357665,-0.876130727,-9.76735026,-0.0827339224,0.0882906432,0.0175631292,-0.0829546079,-0.0184257366,0.0559201688,-3.15299225,19.4875183,-46.2166748,2
0.245703583,0.0443001949,0.00210573998,0.00320254472,0.999010883,0.00393904304,0.0886422794,0.00623671125,0.038477053,-0.868145866,-9.76807156,-0.066908563,0.0714770902,-0.065662851,-0.0755765438,-0.0169540811,0.0456928089,-3.25547028,19.3562775,-46.2485046,2
0.255661583,0.0439892404,0.00196344393,0.00337652247,0.999024295,0.00364009467,0.0880195092,0.00659931023,0.035558864,-0.862062381,-9.76862159,-0.101399752,0.0561160742,-0.225075414,-0.0458250456,-0.0411209352,0.0229984168,-3.17900085,19.58358,-46.0147095,2
0.265618583,0.0438695115,0.00168323176,0.00342943048,0.999029918,0.00307414325,0.0877781324,0.00673048537,0.0300309332,-0.85970442,-9.7688478,-0.140014912,0.0759044782,-0.323460385,-0.00323763653,-0.0690142736,0.0033574719,-3.055336,19.3758774,-46.1019287,2
0.275576583,0.0439526522,0.00133269051,0.00340633901,0.999026857,0.00237252259,0.0879421501,0.0067148972,0.0231765646,-0.861306668,-9.76872564,-0.131065645,0.101897728,-0.323432913,0.0338692516,-0.06821879,-0.0060080667,-3.09432983,19.5275497,-46.1529236,2
0.28553325,0.0441708731,0.00102874954,0.00335918102,0.999017849,0.00176561396,0.0883768921,0.00664687154,0.0172471746,-0.865553511,-9.76836265,-0.103139499,0.0878886383,-0.259452316,0.0484921373,-0.0530034266,-0.00837788172,-3.03975677,19.3255539,-46.2258911,2
0.29549125,0.0443652556,0.000803956119,0.00332153787,0.999009486,0.00131678235,0.0887644817,0.00659115704,0.0128623813,-0.869339533,-9.76803298,-0.105488428,0.0397504842,-0.0839572171,0.0273607541,-0.0373757333,-0.00264542713,-3.12528229,19.3657913,-46.2937317,2
0.30544825,0.0444140265,0.000617478983,0.00330600761,0.999007512,0.000943789958,0.0888608735,0.00657659881,0.00921889886,-0.870281124,-9.76795348,-0.0988521866,-0.00569558129,0.11752514,-0.00831907988,-0.0397988036,-0.00214681774,-3.25360107,19.4647293,-46.2486877,2
0.31540625,0.0442881598,0.000376173645,0.00326046499,0.999013429,0.000464627836,0.0886072867,0.00650674863,0.00453856731,-0.867804067,-9.76817677,-0.0461381942,0.0178642311,0.214563957,-0.0419185869,-0.0564334393,-0.0116729448,-3.25360107,19.4647293,-46.2486877,2
0.32536325,0.0440021202,0.000103678504,0.00316710089,0.999026447,-7.18413712E-05,0.0880328823,0.00634351791,-0.000701795019,-0.862193022,-9.76867478,-0.0470329739,0.0282644098,0.248281518,-0.0716023073,-0.0502164289,-0.0216265749,-3.16832733,19.5492477,-46.1958923,2
0.33532125,0.0436079673,-9.42227823E-05,0.00301947623,0.999044086,-0.000453336023,0.0872426239,0.00606449915,-0.00442879963,-0.854472949,-9.76935224,-0.107350861,-0.00893412482,0.148402509,-0.0841718987,-0.0352662429,-0.0343636759,-3.24274445,19.6405869,-46.2720337,2
0.34527925,0.0431961095,-0.000289568977,0.00282288322,0.999062487,-0.000825550899,0.0864171094,0.00568674135,-0.00806567713,-0.846407935,-9.77005192,-0.200080582,-0.0888252615,-0.0241781634,-0.0827563405,-0.0494426712,-0.0383721739,-3.18971252,19.6057816,-46.2136841,2
0.35523625,0.0427615581,-0.00057109948,0.00264933617,0.999081627,-0.0013727498,0.0855458486,0.00536228288,-0.0134128446,-0.837895324,-9.77077965,-0.15433126,-0.0738447692,-0.053527592,-0.0943714529,-0.0636551604,-0.0265996736,-3.28462219,19.6459274,-46.110321,2
0.36519425,0.0422791153,-0.000878141475,0.0025340095,0.999102235,-0.00197604251,0.0845786703,0.00515617747,-0.0193090733,-0.828444847,-9.77157576,-0.081995927,-0.0271811447,-0.050187634,-0.0977542922,-0.060548082,-0.0154678812,-2.99871826,19.7648087,-46.0443115,2
0.37515125,0.0418152147,-0.00115582605,0.00244378333,0.999121656,-0.00252282009,0.08364884,0.00499743028,-0.0246538821,-0.8193586,-9.7723298,-0.053457285,0.0454346673,-0.0561672929,-0.0858206674,-0.0471497178,-0.0163794812,-3.09238434,19.8038101,-45.9534607,2
0.38510925,0.0414664256,-0.0013340707,0.00232053341,0.999136301,-0.00286815112,0.0829501241,0.0047640954,-0.0280302038,-0.812530289,-9.77289094,-0.0532233621,0.0820013338,-0.153918058,-0.0544374399,-0.0223431699,-0.0303064827,-3.14035797,19.716774,-46.1063843,2
0.39506625,0.041296098,-0.00133623634,0.00214185177,0.999143778,-0.00285683105,0.0826096824,0.00440543622,-0.0279203639,-0.809203117,-9.77316683,-0.0569245319,0.0869042303,-0.229059516,-0.0151558155,0.0217023175,-0.0390437804,-3.19359589,19.7833023,-46.0097656,2
0.40502425,0.0412711741,-0.00113327187,0.00197541119,0.999145359,-0.00243596158,0.0825610887,0.00405481147,-0.0238072295,-0.808728193,-9.7732171,-0.0399387413,0.0579981616,-0.236491127,0.00103931269,0.0532384776,-0.0310651734,-3.29208374,19.9982224,-46.0443115,2
0.41498125,0.0412470469,-0.00086115504,0.00188313786,0.999146886,-0.00188259487,0.0825140755,0.00384720187,-0.0183991245,-0.808268759,-9.77326679,-0.00060520506,-0.0494521593,-0.171647776,-0.0167330261,0.0536334254,-0.0100879865,-3.31369019,19.8326797,-46.0066223,2
0.42493925,0.0410376326,-0.000608888218,0.00190035056,0.999155582,-0.00137735924,0.0820958313,0.00386047793,-0.0134617834,-0.804181051,-9.77361224,0.0181001895,-0.179235527,-0.0131359604,-0.071059078,0.0509664491,0.0153501071,-3.19551086,19.896019,-45.7788086,2
0.43489625,0.0405078155,-0.000352066107,0.00205400034,0.999176969,-0.000872823222,0.0810361695,0.00414676252,-0.00853138182,-0.793823835,-9.77446447,0.0715284368,-0.217425265,0.18643501,-0.143708244,0.0527086891,0.0410807692,-3.29951477,19.9262466,-46.0811462,2
