"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.00921258333,0.131531454,-0.933888285,-9.80874493
0.0191695833,0.135870944,-0.882712225,-9.76819314
0.0291275833,0.171035781,-0.7755717,-9.79557682
0.0390845833,0.181809689,-0.61949968,-9.92396588
0.0490425833,0.120308633,-0.50143561,-10.0963484
0.0589995833,0.0139162971,-0.486621487,-10.321553
0.0689575833,-0.16295535,-0.588524696,-10.2343143
0.0789145833,-0.131980367,-0.663044222,-10.1253781
0.0888725833,0.124797762,-0.691625005,-9.87039562
0.0988305833,0.260668706,-0.839766232,-9.5730657
0.108787583,0.337432796,-0.955286462,-9.40726724
0.118745583,0.38965632,-1.01663788,-9.32137525
0.128702583,0.337432796,-1.05210199,-9.28052419
0.138660583,0.325461788,-1.00496615,-9.40636941
0.148617583,0.183754977,-1.01184948,-9.52922188
0.158575583,0.0297778831,-1.01738607,-9.64100117
0.168532583,-0.0673369217,-0.948103857,-9.69487071
0.178490583,-0.080804306,-0.862062235,-9.73093337
0.188447583,-0.0799064804,-0.834080003,-9.74664532
0.198405583,-0.0221463654,-0.807145235,-9.79662428
0.208363583,0.0212485397,-0.80370357,-9.79108769
0.218320583,0.00329202728,-0.799364079,-9.77537574
0.228278583,-0.0288800575,-0.786794521,-9.76654712
0.238235583,-0.0362123001,-0.788889447,-9.76894132
0.248193583,-0.0463876572,-0.798316616,-9.91513726
0.258150583,-0.0869394478,-0.798915166,-10.055647
0.268108583,-0.119111533,-0.76494743,-10.1059252
0.27806525,-0.0924760391,-0.763151779,-10.0683662
0.28802325,-0.0941220528,-0.80370357,-9.94596261
0.29798125,-0.0972644424,-0.862660786,-9.74065982
0.30793825,-0.0646434448,-0.865952813,-9.58713164
0.31789625,-0.0287304199,-0.841412246,-9.53356137
0.32785325,-0.0712274994,-0.842908622,-9.54134253
0.33781125,-0.16983868,-0.909796631,-9.72165584
0.34776825,-0.202459678,-0.932691184,-9.82191304
0.35772625,-0.132429279,-0.887201353,-9.80979239
0.36768325,-0.0867898102,-0.810437262,-9.82370869
0.37764125,-0.0758662651,-0.755370624,-9.85947207
0.38759825,-0.080804306,-0.723048901,-9.9690068
0.39755625,-0.0764648155,-0.729782594,-10.0197339
0.40751425,-0.039653965,-0.794874951,-9.98471875
0.41747125,-0.00673369217,-0.925508579,-9.87518402
0.42742925,0.0293289703,-1.00885672,-9.67377181
0.43738625,0.0781108292,-0.987009634,-9.53116717
0.44734425,0.0878372734,-0.9192238,-9.51784942
0.45730125,0.0861912598,-0.760308665,-9.6466874
0.46725925,0.0353144745,-0.631470688,-9.87757822
0.47721625,-0.040402153,-0.588973608,-9.98187563
0.48717425,-0.0451905563,-0.567126518,-9.94446623
0.49713225,-0.0398036026,-0.591816723,-9.92740755
0.50708925,-0.0276829567,-0.607528671,-9.89673184
0.51704725,-0.0567126518,-0.581342091,-9.86770214
0.52700425,-0.168641579,-0.592115998,-9.82550434
0.53696225,-0.27039515,-0.578648614,-9.76265654
0.54691925,-0.294636442,-0.592714548,-9.75831705
0.55687725,-0.180762225,-0.709731155,-9.66584101
0.56683425,-0.00613514175,-0.809689074,-9.63396821
0.57679225,0.106541974,-0.82555066,-9.68888521
0.58675025,0.165199915,-0.781257929,-9.72195512
0.59670725,0.136170219,-0.742352152,-9.75502503
0.60666525,0.063446344,-0.686088413,-9.88595793
0.61662225,-0.0363619377,-0.598400777,-9.92935284
0.62658025,-0.102202483,-0.566079055,-9.88311482
0.63653725,-0.118064069,-0.576703325,-9.85767642
