"Time (s)","X (µT)","Y (µT)","Z (µT)"
0.0166795833,-2.53853607,19.72789,-46.266571
0.0266375833,-2.59349823,19.5834198,-46.2545471
0.0365955833,-2.63010406,19.6058502,-46.2642517
0.0465525833,-2.68945312,19.5484619,-46.307312
0.0565105833,-2.72618103,19.6228485,-46.3638
0.0664675833,-2.76655579,19.6530914,-46.2043762
0.0764255833,-2.75204468,19.5548859,-46.193573
0.0863825833,-2.87992096,19.5240326,-46.2876282
0.0963405833,-2.80747223,19.4065094,-46.4347839
0.106297583,-2.8644104,19.325943,-46.3558044
0.116255583,-2.93212891,19.1618958,-46.4511108
0.126212583,-2.94291687,19.1379089,-46.4020691
0.136170583,-2.93054199,19.1026001,-46.4150391
0.146128583,-2.87213898,19.2727814,-46.493103
0.156085583,-2.93412781,19.2358856,-46.5170898
0.166043583,-2.94931793,19.3414154,-46.3985291
0.176000583,-3.07145691,19.3224945,-46.236145
0.185958583,-3.13511658,19.262619,-46.2713928
0.195915583,-3.05226898,19.3562317,-46.3484497
0.205873583,-3.04877472,19.4118652,-46.125061
0.215830583,-3.04447174,19.3789215,-46.1387634
0.225788583,-3.04112244,19.315506,-46.1755676
0.235745583,-3.15299225,19.4875183,-46.2166748
0.245703583,-3.25547028,19.3562775,-46.2485046
0.255661583,-3.17900085,19.58358,-46.0147095
0.265618583,-3.055336,19.3758774,-46.1019287
0.275576583,-3.09432983,19.5275497,-46.1529236
0.28553325,-3.03975677,19.3255539,-46.2258911
0.29549125,-3.12528229,19.3657913,-46.2937317
0.30544825,-3.25360107,19.4647293,-46.2486877
0.31540625,-3.25360107,19.4647293,-46.2486877
0.32536325,-3.16832733,19.5492477,-46.1958923
0.33532125,-3.24274445,19.6405869,-46.2720337
0.34527925,-3.18971252,19.6057816,-46.2136841
0.35523625,-3.28462219,19.6459274,-46.110321
0.36519425,-2.99871826,19.7648087,-46.0443115
0.37515125,-3.09238434,19.8038101,-45.9534607
0.38510925,-3.14035797,19.716774,-46.1063843
0.39506625,-3.19359589,19.7833023,-46.0097656
0.40502425,-3.29208374,19.9982224,-46.0443115
0.41498125,-3.31369019,19.8326797,-46.0066223
0.42493925,-3.19551086,19.896019,-45.7788086
0.43489625,-3.29951477,19.9262466,-46.0811462
0.44485425,-3.15688324,19.8872452,-45.9975586
0.45481225,-3.13873291,20.0189438,-46.0860291
0.46476925,-3.08140564,20.0606155,-46.0675049
0.47472725,-3.20948792,20.1918869,-46.2409668
0.48468425,-3.16326141,20.2082443,-46.0528259
0.49464225,-3.22537231,20.3989334,-45.99646
0.50459925,-3.14636993,20.4316635,-45.7590942
0.51455725,-3.20302582,20.4029922,-45.9216309
0.52451425,-3.25286865,20.4490433,-45.9279175
0.53447225,-3.25041962,20.2903519,-46.0232239
0.54443025,-3.21230316,20.3874435,-45.9350891
0.55438725,-3.21266174,20.3674393,-45.7590027
0.56434525,-3.26396942,20.3245621,-45.9953918
0.57430225,-3.26599121,20.2304001,-46.0728149
0.58426025,-3.1995163,20.3428574,-45.8676147
0.59421725,-2.97888184,20.5079117,-45.6624451
0.60417525,-2.91047668,20.6639328,-45.9847107
0.61413225,-2.97364044,20.834877,-45.8666077
0.62409025,-2.8948288,20.707634,-46.0702209
0.63404825,-2.88591766,20.5834274,-45.941925
0.64400525,-2.93406677,20.6373672,-45.894928
0.65396325,-2.85604095,20.6279373,-46.0958557
0.66392025,-2.85404205,20.6230621,-46.103241
0.67387825,-2.79190826,20.367218,-46.0285645
0.68383525,-2.71535492,20.4198608,-45.9928589
0.69379325,-2.73469543,20.4026642,-46.097229
0.70375025,-2.81208801,20.46875,-46.103302
0.71370825,-2.78124237,20.3057709,-46.015625
0.72366625,-2.77462769,20.427002,-46.2300415
0.73362325,-2.75535583,20.3319397,-45.7068787
0.74358125,-2.61491394,20.4429626,-45.8323975
0.75353825,-2.65744781,20.4900665,-45.9047852
0.76349625,-2.63890076,20.3066101,-45.8108521
0.77345325,-2.67952728,20.1614532,-45.8736572
0.78341125,-2.54855347,20.3368988,-45.9508667
0.79336825,-2.46712494,20.3149719,-45.781311
0.80332625,-2.62862396,20.4384155,-46.0068054
0.81328425,-2.55670166,20.3569183,-45.8651733
0.82324125,-2.5289917,20.3731995,-45.6845093
0.83319925,-2.46261597,20.4860382,-45.9014893
0.84315625,-2.55000305,20.3786316,-45.7616577
0.85311425,-2.57578278,20.3398285,-45.9273987
0.86307125,-2.36224365,20.5039215,-45.8066406
0.87302925,-2.40979767,20.4898834,-45.7982788
0.88298625,-2.45773315,20.3118134,-45.809967
0.89294425,-2.41187286,20.4339447,-45.8681641
0.90290225,-2.48583221,20.3857574,-45.8485718
0.91285925,-2.53600311,20.4680176,-45.9444885
0.92281725,-2.51028442,20.4450989,-45.8467102
0.93277425,-2.44288635,20.3035889,-45.8700256
0.94273225,-2.5238266,20.395401,-45.68396
0.95268925,-2.56044006,20.2307281,-45.6963196
0.96264725,-2.52841949,20.3222046,-45.651947
0.97260425,-2.45445251,20.3401794,-45.8550415
0.98256225,-2.54834747,20.364502,-45.7217712
0.99252025,-2.44939423,20.3473663,-45.8568115
1.00247725,-2.32566071,20.5108185,-45.966217
1.01243525,-2.32566071,20.5108185,-45.966217
1.02239225,-2.33094025,20.3908691,-45.8809509
1.03235025,-2.25696564,20.3827972,-45.8189392
1.04230725,-2.29576874,20.4284515,-45.7226562
1.05226525,-2.3315506,20.4303284,-45.7103271
1.06222225,-2.26409149,20.5112305,-45.6203003
1.07218025,-2.38759613,20.3886414,-45.8108521
1.08213825,-2.21586609,20.308197,-45.8917236
1.09209525,-2.35020447,20.2797852,-45.6870728
1.10205325,-2.15420532,20.5112,-45.5927124
1.11201025,-2.33712006,20.4629822,-45.6107788
1.12196825,-2.1368103,20.6521759,-45.6356201
1.13192525,-2.30152893,20.5083313,-45.5549011
1.14188325,-2.39000702,20.5097198,-45.5976562
1.15184125,-2.24829865,20.5208282,-45.6815491
1.16179825,-2.24501038,20.5801086,-45.5794678
1.17175625,-2.24238586,20.4184723,-45.6527405
1.18171325,-2.24389648,20.4538574,-45.7738953
1.19167125,-2.31334686,20.4136353,-45.8862305
1.20162825,-2.15225983,20.5474396,-45.7520142
1.21158625,-2.05594635,20.6156769,-45.840271
1.22154325,-2.02435303,20.552948,-45.730011
1.23150125,-2.03044128,20.5803833,-45.6954041
1.24145925,-2.02410126,20.635788,-45.8032837
1.25141625,-2.10372162,20.559021,-45.7567749
1.26137425,-2.09578705,20.6125031,-45.7019043
1.27133125,-2.22042847,20.460083,-45.6170959
1.28128938,-2.13646698,20.5484009,-45.7343445
1.29124638,-2.16497803,20.4509277,-45.8612976
1.30120438,-2.14976501,20.4354858,-45.6647339
1.31116238,-2.17608643,20.4283752,-45.7271423
1.32111938,-2.18018341,20.53302,-45.7539368
1.33107738,-2.23220825,20.3361664,-45.838623
1.34103438,-2.20143127,20.4240875,-45.7250366
1.35099238,-2.08436584,20.4766083,-45.6836548
1.36094938,-1.9910965,20.6198425,-45.8300476
1.37090738,-1.9910965,20.6198425,-45.8300476
1.38086438,-2.00097656,20.4237976,-45.9344177
1.39082238,-2.10044861,20.4825897,-45.7930908
1.40078038,-2.07395935,20.3278961,-45.9276123
1.41073738,-2.11481476,20.2884064,-45.9862671
1.42069538,-2.05930328,20.2779541,-45.9613342
1.43065238,-2.0304718,20.3121796,-45.9447632
1.44061038,-1.87677765,20.4493103,-45.946228
1.45056737,-1.8986969,20.4301147,-46.0125427
1.46052538,-1.85978699,20.4264832,-46.1694641
