"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773921842688146E9,"2026-03-19 20:04:02.688 UTC+08:00"
"PAUSE",2.908746433333727E1,1.773921871774572E9,"2026-03-19 20:04:31.775 UTC+08:00"
