"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.772522867516817E9,"2026-03-03 15:27:47.517 UTC+08:00"
"PAUSE",3.831830849999096E1,1.772522905834269E9,"2026-03-03 15:28:25.834 UTC+08:00"
