"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
0.00191191667,0.277257711,0.520659983,-0.0697694942
0.0118699167,0.0253682062,0.336805731,0.0163526088
0.0218279167,-0.204247683,0.154516339,0.0664972663
0.0317859167,-0.355952501,0.0231820177,0.0741269588
0.0417439167,-0.397945762,-0.0340469182,0.0473478064
0.0517019167,-0.338351697,-0.0343505181,-0.00492125517
0.0616599167,-0.20512332,-0.00674844999,-0.0584494621
0.0716179167,-0.0406238586,0.0132851787,-0.107208475
0.0815759167,0.119567141,0.0257849917,-0.144219488
0.0915339167,0.233104363,0.0581573136,-0.161897019
0.101491917,0.263541639,0.0695002452,-0.145799279
0.111449417,0.218214884,0.0360434875,-0.107579991
0.121407417,0.122647889,-0.0211313833,-0.0571357235
0.131365417,0.003086071,-0.0920614824,-0.0233737659
0.141323417,-0.118859276,-0.136029735,-0.00374440453
0.151281417,-0.217379451,-0.154114738,-0.00176194741
0.161239417,-0.280371994,-0.157525182,-0.0072805495
0.171197417,-0.296584517,-0.125498265,-0.00577453198
0.181155417,-0.246366903,-0.0869154558,0.0048251152
0.191113417,-0.114964932,-0.0673542693,0.0204293747
0.201071417,0.0476961508,-0.0488405116,0.0326647349
0.211029417,0.177248016,-0.064362742,0.0381412618
0.220987417,0.230822295,-0.0966349319,0.0366938338
0.230945417,0.198911503,-0.125533685,0.0394227728
0.240903417,0.11072465,-0.141708404,0.042945601
0.250861417,0.00102718128,-0.155922756,0.0414542332
0.260819417,-0.0987630635,-0.150226519,0.0410198718
0.270777417,-0.180430233,-0.131450966,0.0391151793
0.280735417,-0.240947634,-0.119908825,0.0444582775
0.290693417,-0.268303365,-0.106672116,0.0594558716
0.300651417,-0.25487864,-0.0862171799,0.0673159212
0.310609417,-0.184684888,-0.0562550165,0.0642855093
0.320567417,-0.0746433437,0.0124622621,0.0473235734
0.330525417,0.0254014973,0.0528640151,0.0276100561
0.340482417,0.0691231415,0.0526938364,0.0119879534
0.350440417,0.0656474531,0.0151579138,0.0168831088
0.360398417,0.0392398126,-0.00869468786,0.0334351882
0.370356417,0.00274278969,-0.00110680971,0.0450881161
0.380314417,-0.0303949229,-0.0100888535,0.0517902263
0.390272417,-0.0524730608,-0.0222182199,0.0488010943
0.400230417,-0.0592460111,-0.0243490152,0.0381931923
