Time (s),Quaternion X,Quaternion Y,Quaternion Z,Quaternion W,Roll (rad),Pitch (rad),Yaw (rad),Gravity X (m/s^2),Gravity Y (m/s^2),Gravity Z (m/s^2),User Acceleration X (m/s^2),User Acceleration Y (m/s^2),User Acceleration Z (m/s^2),Rotation Rate X (rad/s),Rotation Rate Y (rad/s),Rotation Rate Z (rad/s),Magnetic Field X (µT),Magnetic Field Y (µT),Magnetic Field Z (µT),Magnetic Accuracy
0.00564491667,0.0476086127,0.0292425073,5.65103325E-18,0.998438002,0.0586930373,0.0952122869,-0.00279706268,0.572646195,-0.9323035,-9.74542309,0.247367179,0.744958316,1.12764385,0.188860849,0.455443412,-0.0363065638,25.2919388,3.16003418,-43.9138794,2
0.0156029167,0.0479147952,0.0310258113,8.46953457E-05,0.998369518,0.0622680469,0.095825182,-0.00281700361,0.607446765,-0.93828652,-9.7427413,0.403204917,0.824862312,2.08279236,-0.0620366335,0.261886984,0.0364608504,25.2747421,3.10481262,-43.929718,2
0.0255609167,0.0470765853,0.031879675,0.000430646003,0.998382381,0.0639423308,0.0941674344,-0.00215120624,0.62385656,-0.922102862,-9.74324983,0.285490428,0.63809186,2.27782978,-0.267959833,0.0948747024,0.0718429983,25.4212112,3.14528656,-43.924408,2
0.0355189167,0.0454378021,0.032051168,0.000838647391,0.998452625,0.0642362019,0.0909139322,-0.00124310399,0.626909079,-0.89033344,-9.74600819,-0.00726041946,0.260210587,1.79291919,-0.379931897,-0.00961975008,0.0641022548,25.4212112,3.14528656,-43.924408,2
0.0454769167,0.0435133134,0.0318947269,0.0011240124,0.998542999,0.0638840432,0.0870815466,-0.000532960583,0.623690117,-0.852899343,-9.74956209,-0.291495367,-0.223891757,0.878445799,-0.382327884,-0.0391189568,0.0252773203,25.5588303,3.46057129,-43.994873,2
0.0554349167,0.0418143049,0.0317132021,0.00115932047,0.998621343,0.0635067811,0.0836844869,-0.000337869053,0.620192265,-0.819706975,-9.75263199,-0.368951459,-0.546782453,-0.0414484472,-0.292354584,-0.0286713745,-0.0296117608,25.5327835,3.67923737,-43.903717,2
0.0653929167,0.0407143703,0.0316591365,0.000909837659,0.998668727,0.0634125608,0.0814680339,-0.000763242289,0.61938694,-0.798045033,-9.75447967,-0.329240357,-0.647004138,-0.726587597,-0.144024476,0.00239678589,-0.0824810937,25.3313522,3.62148285,-43.8322754,2
0.0753509167,0.0404080207,0.0317209548,0.000398258183,0.998679559,0.0635761683,0.0808225587,-0.00177388893,0.621015418,-0.791735922,-9.75489,-0.238392796,-0.608122692,-1.05777361,0.0251512285,0.0124813775,-0.12588051,25.3824921,3.71028137,-44.0656433,2
0.0853089167,0.040891759,0.0318557657,-0.000324068771,0.998655585,0.0639091346,0.0817439262,-0.00326344575,0.624216625,-0.800741578,-9.75395068,-0.106920086,-0.446187405,-1.07906423,0.172176167,0.034480229,-0.158385754,25.3273697,3.71291351,-43.8729248,2
0.0952669167,0.0419622449,0.0321399442,-0.00115951565,0.998601527,0.0645586979,0.0838307437,-0.00503080463,0.630443098,-0.821136205,-9.751854,-0.00929813583,-0.247275117,-0.822736187,0.257972836,0.0647089779,-0.164281189,25.247757,3.74686432,-43.8882751,2
0.105224917,0.0432480827,0.0324935043,-0.0019439263,0.998533937,0.0653496906,0.0863502966,-0.00671779626,0.638019452,-0.845755171,-9.74925696,0.0676708298,0.0272385739,-0.289780234,0.258243114,0.0595386848,-0.137969807,25.4145126,3.77203369,-43.7207947,2
