"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.055708334E-2,-3.617512584E-1,-2.500909269E-1,2.112610787E-1
3.050708334E-2,-3.410542309E-1,-2.197801769E-1,2.041475028E-1
4.045608334E-2,-2.652859688E-1,-2.132698148E-1,1.572769433E-1
5.040608335E-2,-1.857424229E-1,-2.097499073E-1,7.949718833E-2
6.035608333E-2,-1.295784116E-1,-2.060262561E-1,-3.364578821E-3
7.030508333E-2,-1.315984130E-1,-2.240801007E-1,-6.353550404E-2
8.025508333E-2,-2.011045218E-1,-2.687817216E-1,-8.471752703E-2
9.020408333E-2,-3.007392585E-1,-3.778805137E-1,-6.598032266E-2
1.001540833E-1,-3.843414783E-1,-4.917276204E-1,-4.472912848E-2
1.101030833E-1,-4.292378724E-1,-5.573252439E-1,-3.952584416E-2
1.200530833E-1,-4.254170358E-1,-5.743113160E-1,-5.309014767E-2
1.300030833E-1,-3.795635402E-1,-5.607851148E-1,-8.704172075E-2
1.399520833E-1,-3.190037906E-1,-5.293278694E-1,-1.298471391E-1
1.499020833E-1,-2.670287192E-1,-4.835601151E-1,-1.583283246E-1
1.598510833E-1,-2.524810731E-1,-4.464840591E-1,-1.730872393E-1
1.698010833E-1,-2.859972119E-1,-4.252136648E-1,-1.727072150E-1
1.797500833E-1,-3.614477813E-1,-4.383334517E-1,-1.694672108E-1
1.897000833E-1,-4.559103549E-1,-5.145614147E-1,-1.762055457E-1
1.996490833E-1,-5.483189225E-1,-6.502869129E-1,-1.916266084E-1
2.095990833E-1,-5.918447971E-1,-8.113335967E-1,-2.117156237E-1
2.195490833E-1,-5.854994655E-1,-8.905800581E-1,-2.404658943E-1
2.294980833E-1,-5.662996769E-1,-9.322113991E-1,-2.732036114E-1
2.394480833E-1,-5.331978798E-1,-9.616647959E-1,-2.971127033E-1
2.493970833E-1,-5.096254349E-1,-9.749934077E-1,-2.957342565E-1
2.593470833E-1,-5.086272359E-1,-9.469532967E-1,-2.870922089E-1
2.692960833E-1,-5.484185815E-1,-8.965188861E-1,-2.872541249E-1
2.792460833E-1,-6.527781487E-1,-8.462718129E-1,-3.043722212E-1
2.891960833E-1,-7.648599148E-1,-6.331896782E-1,-3.245382309E-1
2.991450833E-1,-8.633481860E-1,-3.437841833E-1,-3.593483865E-1
3.090950833E-1,-9.275964499E-1,-1.868688762E-1,-3.979882002E-1
3.190440833E-1,-9.699034691E-1,-1.962267905E-1,-4.061488211E-1
3.289940833E-1,-9.922341108E-1,-2.171046436E-1,-3.802413046E-1
3.389430833E-1,-9.978501201E-1,-2.132648230E-1,-3.168375194E-1
3.488930833E-1,-9.829838276E-1,-2.502731979E-1,-2.092391551E-1
3.588430833E-1,-9.321595430E-1,-2.797069848E-1,-7.824464887E-2
3.687920833E-1,-8.571705222E-1,-2.466251701E-1,5.986635014E-2
3.787420833E-1,-7.610372305E-1,-1.207281426E-1,2.085669488E-1
3.886910833E-1,-6.692705750E-1,-2.328227274E-2,3.408727944E-1
3.986410833E-1,-5.738260150E-1,4.949073866E-2,4.442496002E-1
4.085900833E-1,-4.799067080E-1,1.715497971E-1,4.966789782E-1
4.185400833E-1,-3.916383684E-1,3.187888265E-1,5.017181039E-1
4.284900833E-1,-3.106332719E-1,4.314647615E-1,4.672969878E-1
4.384390833E-1,-2.480889857E-1,4.569347501E-1,4.065018296E-1
4.483890833E-1,-2.080302536E-1,4.150314927E-1,3.223949373E-1
4.583380833E-1,-1.959582716E-1,3.253259361E-1,2.367041558E-1
4.682880833E-1,-2.022779435E-1,1.713909656E-1,1.393866539E-1
4.782370833E-1,-2.042401731E-1,1.961308345E-2,5.342410877E-2
4.881870833E-1,-2.068503350E-1,-5.304007977E-2,-1.151174773E-2
4.981370833E-1,-1.985399574E-1,-2.716061845E-2,-5.453400686E-2
