"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.961194167E-1,-1.874760056E1,-2.286240768E1,-3.777738190E1
9.060694167E-1,-1.877709579E1,-2.266577148E1,-3.771024323E1
9.160184167E-1,-1.893624115E1,-2.264896393E1,-3.765442657E1
9.259684167E-1,-1.889352798E1,-2.255582619E1,-3.762915802E1
9.359174167E-1,-1.894546127E1,-2.245875740E1,-3.763426971E1
9.458674167E-1,-1.900544357E1,-2.230590248E1,-3.773274994E1
9.558164167E-1,-1.892739487E1,-2.210759735E1,-3.766854095E1
9.657664167E-1,-1.903175354E1,-2.195320892E1,-3.788242340E1
9.757164167E-1,-1.900973511E1,-2.196266937E1,-3.788927460E1
9.856654167E-1,-1.896726990E1,-2.177568817E1,-3.803728485E1
9.956154167E-1,-1.895151138E1,-2.154850006E1,-3.808839417E1
1.005564417E0,-1.897297287E1,-2.154482079E1,-3.812112427E1
1.015514417E0,-1.897814178E1,-2.146658707E1,-3.819148254E1
1.025463417E0,-1.894658279E1,-2.132323074E1,-3.833740234E1
1.035413417E0,-1.910347748E1,-2.103267097E1,-3.827253723E1
1.045363417E0,-1.926549149E1,-2.096817207E1,-3.839718628E1
1.055312417E0,-1.924330902E1,-2.093418503E1,-3.837252808E1
1.065262417E0,-1.932934570E1,-2.096535873E1,-3.857336426E1
1.075211417E0,-1.955690384E1,-2.075238419E1,-3.830087280E1
1.085161417E0,-1.970865631E1,-2.083282852E1,-3.825154114E1
1.095110417E0,-1.972846603E1,-2.075772858E1,-3.816444397E1
1.105060417E0,-1.974030304E1,-2.076298904E1,-3.826954651E1
1.115009417E0,-1.983554077E1,-2.076287079E1,-3.808070374E1
1.124959417E0,-1.983554077E1,-2.076287079E1,-3.808070374E1
1.134909417E0,-1.994667816E1,-2.079954910E1,-3.816127014E1
1.144858417E0,-1.980984497E1,-2.101118088E1,-3.810659790E1
1.154808417E0,-1.977358246E1,-2.094342422E1,-3.786274719E1
1.164757417E0,-1.974325943E1,-2.106007004E1,-3.804586792E1
1.174707417E0,-1.972850418E1,-2.100680542E1,-3.802256775E1
1.184656417E0,-1.974622345E1,-2.105968475E1,-3.818405151E1
1.194606417E0,-1.981129456E1,-2.092848206E1,-3.801406860E1
1.204555417E0,-1.969948578E1,-2.093887520E1,-3.818690491E1
1.214505417E0,-1.988172913E1,-2.076755905E1,-3.817854309E1
1.224455417E0,-1.980469131E1,-2.063734627E1,-3.812464905E1
1.234404417E0,-1.997257233E1,-2.044375229E1,-3.790904236E1
1.244354417E0,-1.997853088E1,-2.039689255E1,-3.815733337E1
1.254303417E0,-2.020019531E1,-2.027886200E1,-3.815888977E1
1.264253417E0,-2.034545135E1,-2.025449753E1,-3.809455872E1
1.274202417E0,-2.043437958E1,-2.016707993E1,-3.780529785E1
1.284152417E0,-2.037961197E1,-2.018198776E1,-3.784086609E1
1.294102417E0,-2.039394379E1,-2.023544121E1,-3.788233948E1
1.304051417E0,-2.041239929E1,-2.027959251E1,-3.787802124E1
1.314001417E0,-2.064016342E1,-2.023781967E1,-3.766252136E1
1.323950417E0,-2.057849503E1,-2.033538437E1,-3.763024902E1
1.333900417E0,-2.063941574E1,-2.034117889E1,-3.757507324E1
1.343849417E0,-2.058290863E1,-2.056159401E1,-3.763081360E1
1.353799417E0,-2.059339523E1,-2.071368408E1,-3.766282654E1
1.363748417E0,-2.053964615E1,-2.094961166E1,-3.766016388E1
1.373698417E0,-2.058166885E1,-2.090369415E1,-3.753102875E1
1.383648417E0,-2.046638107E1,-2.098753738E1,-3.759889984E1
1.393597417E0,-2.044603729E1,-2.107479095E1,-3.755515289E1
1.403547417E0,-2.023918533E1,-2.117110062E1,-3.763343048E1
1.413496417E0,-2.023918533E1,-2.117110062E1,-3.763343048E1
1.423446417E0,-2.045349503E1,-2.107118797E1,-3.753684235E1
1.433395417E0,-2.033112335E1,-2.117098236E1,-3.751181793E1
1.443345417E0,-2.004637527E1,-2.139449692E1,-3.743723297E1
1.453294417E0,-2.002547836E1,-2.139447021E1,-3.753566742E1
1.463244417E0,-1.980738068E1,-2.144804001E1,-3.773290253E1
1.473194417E0,-1.960820389E1,-2.140418625E1,-3.760344696E1
1.483143417E0,-1.953799438E1,-2.144361115E1,-3.767835999E1
1.493093417E0,-1.953574371E1,-2.142637253E1,-3.781309509E1
1.503042417E0,-1.938586807E1,-2.134533691E1,-3.807629395E1
1.512992417E0,-1.937403870E1,-2.121345329E1,-3.805792236E1
1.522941417E0,-1.911867905E1,-2.117603683E1,-3.813580322E1
1.532891417E0,-1.901341629E1,-2.103060913E1,-3.812199402E1
1.542841417E0,-1.879351807E1,-2.093248749E1,-3.841856384E1
1.552790417E0,-1.889819717E1,-2.088594627E1,-3.841971588E1
1.562740417E0,-1.877624512E1,-2.088215637E1,-3.859073639E1
1.572689417E0,-1.909486771E1,-2.074378967E1,-3.861017609E1
1.582639417E0,-1.911413574E1,-2.063208961E1,-3.875673676E1
1.592588417E0,-1.947729492E1,-2.046650124E1,-3.843776703E1
1.602538417E0,-1.970270538E1,-2.005983353E1,-3.833933258E1
1.612487417E0,-2.018645477E1,-1.987137985E1,-3.816101837E1
1.622437417E0,-2.054278946E1,-1.978512955E1,-3.819150543E1
1.632387417E0,-2.075290680E1,-1.953423882E1,-3.796990204E1
1.642336417E0,-2.094230652E1,-1.933962250E1,-3.770949554E1
1.652286417E0,-2.119470978E1,-1.911352921E1,-3.779667664E1
1.662235417E0,-2.130980682E1,-1.904163551E1,-3.787528992E1
1.672185417E0,-2.156143951E1,-1.886386299E1,-3.780401611E1
1.682134417E0,-2.177351379E1,-1.844007111E1,-3.792158508E1
1.692084417E0,-2.177351379E1,-1.844007111E1,-3.792158508E1
1.702033333E0,-2.194355011E1,-1.823510742E1,-3.755407715E1
1.711983333E0,-2.195400238E1,-1.821705818E1,-3.770361328E1
1.721933333E0,-2.212800598E1,-1.792266083E1,-3.793615723E1
1.731882333E0,-2.206143188E1,-1.774871826E1,-3.801828003E1
1.741832333E0,-2.197738647E1,-1.763576889E1,-3.789411926E1
1.751781333E0,-2.189842987E1,-1.756201363E1,-3.804961395E1
1.761731333E0,-2.195788574E1,-1.737957382E1,-3.822466278E1
1.771680333E0,-2.197786713E1,-1.727367020E1,-3.801790619E1
1.781630333E0,-2.228030396E1,-1.728700638E1,-3.794101715E1
1.791579333E0,-2.237726974E1,-1.716934586E1,-3.779779053E1
1.801529333E0,-2.271342087E1,-1.723879623E1,-3.771554565E1
1.811479333E0,-2.279365158E1,-1.695469475E1,-3.774102783E1
1.821428333E0,-2.290526962E1,-1.696262741E1,-3.774711609E1
1.831378333E0,-2.296974564E1,-1.696604156E1,-3.781613159E1
1.841327333E0,-2.279246902E1,-1.688075638E1,-3.762048340E1
1.851277333E0,-2.267940903E1,-1.670579910E1,-3.769204712E1
1.861226333E0,-2.234233856E1,-1.682735443E1,-3.800394440E1
1.871176333E0,-2.199323273E1,-1.680200195E1,-3.791657257E1
1.881125333E0,-2.164663696E1,-1.683456421E1,-3.813874054E1
1.891075333E0,-2.152669525E1,-1.665654755E1,-3.847772980E1
1.901025333E0,-2.114675522E1,-1.655421829E1,-3.901815796E1
1.910974333E0,-2.104094315E1,-1.645092201E1,-3.897138977E1
1.920924333E0,-2.060617065E1,-1.651913261E1,-3.912466431E1
1.930873333E0,-2.051213074E1,-1.638041687E1,-3.927342224E1
1.940823333E0,-2.021939087E1,-1.628068924E1,-3.954293823E1
1.950772333E0,-2.010338211E1,-1.629281616E1,-3.931788635E1
1.960722333E0,-2.006642532E1,-1.639563370E1,-3.939971924E1
1.970671333E0,-2.001084518E1,-1.640005302E1,-3.925602722E1
1.980621333E0,-2.001084518E1,-1.640005302E1,-3.925602722E1
1.990571333E0,-1.992745972E1,-1.640999985E1,-3.916256714E1
2.000520333E0,-1.998165131E1,-1.637804413E1,-3.936225128E1
2.010470333E0,-2.014336014E1,-1.631582260E1,-3.930129242E1
2.020419333E0,-2.011592102E1,-1.621158218E1,-3.919062042E1
2.030369333E0,-2.013857651E1,-1.634144020E1,-3.939064789E1
2.040318333E0,-2.025105286E1,-1.614056015E1,-3.923847198E1
2.050268333E0,-2.038666916E1,-1.620381546E1,-3.935512543E1
2.060218333E0,-2.023616791E1,-1.617993164E1,-3.905277252E1
2.070167333E0,-2.037458420E1,-1.617993546E1,-3.916010284E1
2.080117333E0,-2.027109909E1,-1.617432594E1,-3.904950714E1
2.090066333E0,-2.025098801E1,-1.593697739E1,-3.933644867E1
2.100016333E0,-2.021459198E1,-1.597596550E1,-3.930410004E1
2.109965333E0,-2.015573120E1,-1.597951889E1,-3.918985748E1
2.119915333E0,-2.025030136E1,-1.602732658E1,-3.908644867E1
2.129864333E0,-2.022020340E1,-1.594431591E1,-3.901970673E1
2.139814333E0,-2.009695435E1,-1.612525558E1,-3.919440460E1
2.149763333E0,-2.008642578E1,-1.604541588E1,-3.925071716E1
2.159713333E0,-1.995825958E1,-1.625251007E1,-3.907733154E1
2.169663333E0,-1.987818527E1,-1.620724678E1,-3.883615112E1
2.179612333E0,-1.983250427E1,-1.619822884E1,-3.903547668E1
2.189562333E0,-1.975349426E1,-1.635251427E1,-3.905564880E1
2.199511333E0,-1.952954102E1,-1.646328545E1,-3.892214966E1
2.209461333E0,-1.966694260E1,-1.654814720E1,-3.895879364E1
2.219410333E0,-1.946324539E1,-1.675127220E1,-3.915201569E1
2.229360333E0,-1.970976257E1,-1.695775986E1,-3.897100067E1
2.239309333E0,-1.977493286E1,-1.710902977E1,-3.874933624E1
2.249259333E0,-1.965276337E1,-1.737541199E1,-3.866233063E1
2.259209333E0,-1.968519211E1,-1.755764771E1,-3.860671234E1
2.269158333E0,-1.968030548E1,-1.754446793E1,-3.860802460E1
2.279108333E0,-1.961595154E1,-1.777561760E1,-3.837859344E1
2.289057333E0,-1.942464828E1,-1.790525436E1,-3.844806671E1
2.299007333E0,-1.950564957E1,-1.815250015E1,-3.844837189E1
2.308956333E0,-1.910218048E1,-1.845387268E1,-3.823963165E1
2.318906333E0,-1.901469421E1,-1.860827637E1,-3.828095245E1
2.328855333E0,-1.870106888E1,-1.897279930E1,-3.838105011E1
2.338805333E0,-1.854345703E1,-1.898522568E1,-3.808919525E1
2.348755333E0,-1.833738327E1,-1.945999527E1,-3.806623077E1
2.358704333E0,-1.808771133E1,-2.003908539E1,-3.783345795E1
2.368654333E0,-1.797501755E1,-2.050046921E1,-3.794065857E1
2.378603333E0,-1.795181656E1,-2.075042343E1,-3.739279175E1
2.388553333E0,-1.800031662E1,-2.107799911E1,-3.730386353E1
2.398502333E0,-1.795000076E1,-2.155561829E1,-3.717170715E1
2.408452333E0,-1.797410202E1,-2.173354530E1,-3.696238708E1
2.418401333E0,-1.824491119E1,-2.194507408E1,-3.678103638E1
2.428351333E0,-1.847317123E1,-2.202856064E1,-3.640589905E1
2.438301333E0,-1.853414154E1,-2.214971352E1,-3.638775635E1
2.448250333E0,-1.866223907E1,-2.224470139E1,-3.636807251E1
2.458200333E0,-1.860488510E1,-2.253045654E1,-3.633934021E1
2.468149333E0,-1.858320999E1,-2.237925339E1,-3.626553345E1
2.478099333E0,-1.830594254E1,-2.253178978E1,-3.619145203E1
2.488048333E0,-1.798233795E1,-2.246363068E1,-3.627294922E1
2.497998333E0,-1.775362015E1,-2.234753799E1,-3.651773071E1
2.507947333E0,-1.751091766E1,-2.229301262E1,-3.659533691E1
2.517897333E0,-1.713943863E1,-2.226144791E1,-3.675836182E1
2.527847333E0,-1.726645279E1,-2.220858002E1,-3.685456848E1
2.537796333E0,-1.696115875E1,-2.220960236E1,-3.664791870E1
2.547746333E0,-1.696115875E1,-2.220960236E1,-3.664791870E1
2.557695333E0,-1.702972412E1,-2.201158333E1,-3.674768066E1
2.567645333E0,-1.698576355E1,-2.204417801E1,-3.682699585E1
2.577594333E0,-1.712917328E1,-2.193621826E1,-3.677239990E1
2.587544333E0,-1.702745056E1,-2.202365875E1,-3.684330750E1
2.597493333E0,-1.727719498E1,-2.189898300E1,-3.676184082E1
2.607443333E0,-1.717762375E1,-2.191154099E1,-3.661907959E1
2.617393333E0,-1.727698135E1,-2.199011993E1,-3.674732971E1
2.627342333E0,-1.720100021E1,-2.208725739E1,-3.674751282E1
2.637292333E0,-1.736565781E1,-2.197159958E1,-3.657402039E1
2.647241333E0,-1.749544907E1,-2.203182793E1,-3.652838135E1
2.657191333E0,-1.743862152E1,-2.191492081E1,-3.649514771E1
2.667140333E0,-1.733408356E1,-2.194405365E1,-3.657632446E1
2.677090333E0,-1.732733917E1,-2.187812805E1,-3.647087097E1
2.687039333E0,-1.728688812E1,-2.196478271E1,-3.659078979E1
2.696989333E0,-1.707553482E1,-2.204773521E1,-3.673422241E1
2.706938917E0,-1.694983292E1,-2.210496521E1,-3.685713196E1
2.716887917E0,-1.680112839E1,-2.198424721E1,-3.694575500E1
2.726837917E0,-1.649269104E1,-2.204358864E1,-3.696273804E1
2.736786917E0,-1.626116562E1,-2.180727196E1,-3.696041870E1
2.746736917E0,-1.607030487E1,-2.183176231E1,-3.717761230E1
2.756685917E0,-1.603178024E1,-2.167539597E1,-3.720584106E1
2.766635917E0,-1.577972412E1,-2.157609558E1,-3.731373596E1
2.776584917E0,-1.584826660E1,-2.154282379E1,-3.733218384E1
2.786534917E0,-1.562385941E1,-2.143895149E1,-3.732672119E1
2.796484917E0,-1.558560944E1,-2.139376831E1,-3.747647095E1
2.806433917E0,-1.565428925E1,-2.119618797E1,-3.789025879E1
2.816383917E0,-1.537459564E1,-2.130977631E1,-3.798532104E1
2.826332917E0,-1.535298538E1,-2.124089813E1,-3.792982483E1
2.836282917E0,-1.535298538E1,-2.124089813E1,-3.792982483E1
2.846231917E0,-1.509822083E1,-2.123250580E1,-3.804614258E1
2.856181917E0,-1.496514130E1,-2.108121109E1,-3.811260986E1
2.866130917E0,-1.502696991E1,-2.131154251E1,-3.812711334E1
2.876080917E0,-1.504249954E1,-2.121695900E1,-3.770989227E1
2.886030917E0,-1.504706192E1,-2.141584778E1,-3.777326202E1
2.895979917E0,-1.527273941E1,-2.171225548E1,-3.766738129E1
2.905929917E0,-1.513256454E1,-2.204352188E1,-3.755415344E1
2.915878917E0,-1.543208694E1,-2.228987122E1,-3.731523132E1
2.925828917E0,-1.550859070E1,-2.241660690E1,-3.709080505E1
2.935777917E0,-1.605291367E1,-2.249713707E1,-3.670301819E1
2.945727917E0,-1.618041992E1,-2.270949936E1,-3.638877106E1
2.955676917E0,-1.638492966E1,-2.278637314E1,-3.603127289E1
2.965626917E0,-1.662129211E1,-2.302857971E1,-3.609664154E1
2.975575917E0,-1.680388260E1,-2.288824463E1,-3.614565277E1
2.985525917E0,-1.682675552E1,-2.283190918E1,-3.614557648E1
2.995475917E0,-1.696905136E1,-2.289177322E1,-3.605747223E1
3.005424917E0,-1.677457047E1,-2.287768936E1,-3.602483368E1
3.015374917E0,-1.683087921E1,-2.296700287E1,-3.603891754E1
3.025323917E0,-1.691831970E1,-2.298513985E1,-3.584539032E1
3.035273917E0,-1.688453293E1,-2.288845634E1,-3.604128265E1
3.045222917E0,-1.699171829E1,-2.277881813E1,-3.611483002E1
3.055172917E0,-1.684978485E1,-2.279819870E1,-3.590244293E1
3.065122917E0,-1.690815353E1,-2.277421951E1,-3.603295135E1
3.075071917E0,-1.702431107E1,-2.265196991E1,-3.595452118E1
3.085021917E0,-1.713261414E1,-2.242340469E1,-3.595395660E1
3.094970917E0,-1.720431900E1,-2.249163818E1,-3.602811432E1
3.104920917E0,-1.713457108E1,-2.246445847E1,-3.593354034E1
3.114869917E0,-1.708214569E1,-2.237393570E1,-3.608855438E1
3.124819917E0,-1.708214569E1,-2.237393570E1,-3.608855438E1
3.134768917E0,-1.719356918E1,-2.224263573E1,-3.599987030E1
3.144718917E0,-1.697809982E1,-2.221676254E1,-3.610834503E1
3.154667917E0,-1.716218567E1,-2.194277573E1,-3.594249725E1
3.164617917E0,-1.724684906E1,-2.197861481E1,-3.601534271E1
3.174567917E0,-1.736952591E1,-2.185327148E1,-3.619281769E1
3.184516917E0,-1.737553406E1,-2.195211792E1,-3.618215179E1
3.194466917E0,-1.761932373E1,-2.168508339E1,-3.620980835E1
3.204415917E0,-1.785287094E1,-2.156706238E1,-3.607266235E1
3.214365917E0,-1.811640930E1,-2.137157440E1,-3.597854614E1
3.224314917E0,-1.811945343E1,-2.148861885E1,-3.600463867E1
3.234264917E0,-1.845875931E1,-2.149436760E1,-3.606658936E1
3.244213917E0,-1.833339691E1,-2.152713585E1,-3.612452698E1
3.254163917E0,-1.845127487E1,-2.156448364E1,-3.617266846E1
3.264113917E0,-1.845428085E1,-2.162244415E1,-3.599861145E1
3.274062917E0,-1.877520370E1,-2.146509361E1,-3.590151978E1
3.284012917E0,-1.887887573E1,-2.135182190E1,-3.580046082E1
3.293961917E0,-1.907746887E1,-2.137853050E1,-3.597216797E1
3.303911917E0,-1.910944748E1,-2.131243134E1,-3.602056885E1
3.313860917E0,-1.927310181E1,-2.122833824E1,-3.552590942E1
3.323810917E0,-1.927251053E1,-2.114506531E1,-3.552517700E1
3.333759917E0,-1.933936691E1,-2.089693069E1,-3.573371887E1
3.343709917E0,-1.930387115E1,-2.093850136E1,-3.587461090E1
3.353659917E0,-1.929830933E1,-2.072292519E1,-3.594815826E1
3.363608917E0,-1.912442780E1,-2.090596771E1,-3.605582428E1
3.373558917E0,-1.907462311E1,-2.076697922E1,-3.571187592E1
3.383507917E0,-1.916693115E1,-2.082296562E1,-3.581170654E1
3.393457917E0,-1.909402084E1,-2.089420700E1,-3.571046448E1
3.403406917E0,-1.909402084E1,-2.089420700E1,-3.571046448E1
3.413356917E0,-1.896263504E1,-2.098484612E1,-3.569230652E1
3.423305917E0,-1.880553818E1,-2.094506073E1,-3.547505188E1
3.433255917E0,-1.880723953E1,-2.120977020E1,-3.571543884E1
3.443204917E0,-1.859016800E1,-2.127600098E1,-3.568598938E1
3.453154917E0,-1.852576447E1,-2.128449249E1,-3.580650330E1
3.463104917E0,-1.840858841E1,-2.158791924E1,-3.549919128E1
