"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.147083335E-3,-2.370620270E0,4.135001221E0,7.523953857E0
1.309608333E-2,-2.264640656E0,4.071682892E0,7.563621368E0
2.304608334E-2,-1.937720490E0,4.134851532E0,8.199499054E0
3.299608335E-2,-1.483864288E0,4.306245117E0,8.847800903E0
4.294508335E-2,-1.101858673E0,4.377197571E0,9.081614685E0
5.289508332E-2,-8.578660583E-1,4.468807068E0,9.096433868E0
6.284408332E-2,-7.885601807E-1,4.546944580E0,8.893306274E0
7.279408333E-2,-8.750802612E-1,4.496200104E0,8.381370850E0
8.274308333E-2,-1.078956299E0,4.334386597E0,7.676935730E0
9.269308334E-2,-1.260079651E0,4.154460754E0,7.235803070E0
1.026430833E-1,-1.263073425E0,3.963757324E0,7.360194397E0
1.125920833E-1,-1.153351593E0,4.004322968E0,7.818840637E0
1.225420833E-1,-9.737251282E-1,4.051175537E0,8.412955170E0
1.324910833E-1,-7.903564453E-1,4.066593475E0,8.945098572E0
1.424410833E-1,-6.010002136E-1,3.948189697E0,9.170380096E0
1.523900833E-1,-5.481600952E-1,3.861070862E0,9.114546204E0
1.623400833E-1,-5.532495117E-1,3.844904480E0,8.877289581E0
1.722900833E-1,-6.018983459E-1,3.886517944E0,8.453221436E0
1.822390833E-1,-6.535409546E-1,4.010310516E0,7.965385895E0
1.921890833E-1,-6.185137939E-1,4.100572815E0,7.607031097E0
2.021380833E-1,-5.499563599E-1,4.093836823E0,7.500303040E0
2.120880833E-1,-4.079017639E-1,4.011208649E0,7.821235657E0
2.220370833E-1,-3.192860413E-1,3.874692535E0,8.469687195E0
2.319870833E-1,-3.174897766E-1,3.730841675E0,8.890462189E0
2.419370833E-1,-3.608995056E-1,3.592828674E0,9.109307098E0
2.518860833E-1,-4.201762390E-1,3.494483185E0,9.190288696E0
2.618360833E-1,-4.734654236E-1,3.463647308E0,9.171577606E0
2.717850833E-1,-4.082011414E-1,3.542533264E0,9.194929047E0
2.817350833E-1,-2.764750671E-1,3.648662567E0,9.083860016E0
2.916840833E-1,-2.269281006E-1,3.780089264E0,9.156309357E0
3.016340833E-1,-2.049238586E-1,3.988755341E0,9.450148315E0
3.115840833E-1,-2.368075562E-1,4.072730713E0,9.565258942E0
3.215330833E-1,-3.502716064E-1,3.791016541E0,9.435778198E0
3.314830833E-1,-4.381388855E-1,3.155887299E0,9.279652863E0
3.414320833E-1,-6.692582703E-1,2.551144867E0,9.202114105E0
3.513820833E-1,-9.301657104E-1,2.198178864E0,9.135951691E0
3.613310833E-1,-1.178948364E0,2.111209717E0,9.290280762E0
3.712810833E-1,-1.373693390E0,2.085014191E0,9.537716217E0
3.812300833E-1,-1.675765228E0,2.053429871E0,9.804910583E0
3.911800833E-1,-1.729353790E0,2.159259796E0,9.965825958E0
4.011300833E-1,-1.680704956E0,2.283052368E0,1.000908600E1
4.110790833E-1,-1.557511139E0,2.385439453E0,1.025322830E1
4.210290833E-1,-1.341360626E0,2.467768250E0,1.039588165E1
4.309780833E-1,-1.208886108E0,2.477348328E0,1.029948212E1
4.409280833E-1,-1.091380463E0,2.438429260E0,9.979597321E0
4.508770833E-1,-1.061742096E0,2.374661865E0,9.582173767E0
4.608270833E-1,-1.153800659E0,2.398462372E0,9.240584106E0
4.707770833E-1,-1.234931946E0,2.590213623E0,9.142687683E0
4.807260833E-1,-1.339714050E0,2.857407990E0,9.270072784E0
4.906760833E-1,-1.525627441E0,3.065175934E0,9.546547852E0
5.006250833E-1,-1.722617798E0,3.150049438E0,9.914183350E0
5.105750833E-1,-1.846859436E0,3.067870331E0,1.016775604E1
5.205240833E-1,-1.878892822E0,2.856958923E0,1.025502457E1
5.304740833E-1,-1.954635315E0,2.570903778E0,1.026819717E1
5.404240833E-1,-1.973496094E0,2.379601593E0,9.940079498E0
5.503730833E-1,-2.008223877E0,2.321672058E0,9.469009094E0
5.603230833E-1,-1.995500336E0,2.427801361E0,8.960217133E0
5.702720833E-1,-1.964814148E0,2.588866425E0,8.468489685E0
5.802220833E-1,-1.934427338E0,2.752027130E0,8.080945587E0
5.901710833E-1,-1.962718506E0,2.847528534E0,7.900870056E0
6.001210833E-1,-1.920805664E0,2.897973633E0,7.854915619E0
6.100710833E-1,-1.864373016E0,2.915038147E0,7.899971924E0
6.200200833E-1,-1.767374725E0,3.007994843E0,8.187523956E0
6.299700833E-1,-1.580862579E0,3.152294769E0,8.566236420E0
6.399190833E-1,-1.378483429E0,3.209625549E0,9.004225616E0
6.498690833E-1,-1.237177277E0,3.168012085E0,9.352551270E0
6.598180833E-1,-1.157991943E0,3.105591888E0,9.663454742E0
6.697680833E-1,-1.124461670E0,3.014880524E0,9.914782104E0
6.797170833E-1,-1.272803192E0,2.915187836E0,9.919272766E0
6.896670833E-1,-1.403182068E0,2.885399780E0,9.729317780E0
6.996174167E-1,-1.543141022E0,2.923271027E0,9.502239990E0
7.095664167E-1,-1.619332581E0,3.042722626E0,9.547296295E0
7.195164167E-1,-1.557810516E0,3.239114227E0,9.826765137E0
7.294654167E-1,-1.339264984E0,3.475023651E0,1.026265869E1
