"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.223056793E-3,4.388014028E1,1.253010337E2,2.343177663E2,NaN,NaN,2.973513305E1,3.000000000E1
8.805036545E-3,4.388006870E1,1.253010310E2,2.364513703E2,NaN,NaN,3.839501400E1,3.263099201E1
9.646058083E-3,4.388006758E1,1.253010086E2,2.345512567E2,NaN,NaN,3.521472367E1,3.000000000E1
4.313099384E-2,4.388006513E1,1.253010096E2,2.345567003E2,NaN,NaN,3.520404082E1,3.000006836E1
2.964609861E-1,4.388006529E1,1.253010093E2,2.345512567E2,NaN,NaN,3.521501198E1,3.000000000E1
4.368306041E0,4.388012065E1,1.253010206E2,2.341947628E2,NaN,NaN,3.408669416E1,3.000000000E1
