"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.013620832E-2,-1.294465512E-1,-8.749450743E-2,-8.616133593E-3
2.008420831E-2,-1.575770378E-1,-1.106197238E-1,1.992700621E-3
3.003320831E-2,-2.043179125E-1,-1.489210427E-1,2.254538052E-2
3.998220834E-2,-2.732119858E-1,-2.181811780E-1,4.072065651E-2
4.993020833E-2,-3.664085269E-1,-3.080996275E-1,5.240261182E-2
5.987920833E-2,-4.752885699E-1,-3.843267858E-1,5.100558326E-2
6.982820833E-2,-5.929762721E-1,-4.909381866E-1,5.117416009E-2
7.977620832E-2,-7.008268833E-1,-5.855833888E-1,4.871745780E-2
8.972520832E-2,-7.601804733E-1,-6.445657611E-1,3.906749561E-2
9.967320831E-2,-7.829391956E-1,-6.916389465E-1,6.878003012E-3
1.096222083E-1,-7.688848972E-1,-7.146105766E-1,-4.978474230E-2
1.195712083E-1,-7.296404243E-1,-7.253364921E-1,-1.151297912E-1
1.295192083E-1,-6.836827397E-1,-7.417253256E-1,-1.940459162E-1
1.394682083E-1,-6.636310816E-1,-7.909368873E-1,-2.969665825E-1
1.494172083E-1,-6.740528345E-1,-8.676782250E-1,-4.202426970E-1
1.593652083E-1,-7.272788286E-1,-9.666790962E-1,-5.555263162E-1
1.693142083E-1,-7.957151532E-1,-1.090458512E0,-6.730968952E-1
1.792632083E-1,-8.662784696E-1,-1.265674353E0,-7.325388193E-1
1.892112083E-1,-9.634013176E-1,-1.486924171E0,-7.408542633E-1
1.991602083E-1,-1.075442672E0,-1.685568094E0,-7.090477943E-1
2.091092083E-1,-1.199313283E0,-1.864249468E0,-6.529057026E-1
2.190572083E-1,-1.261478305E0,-1.876550794E0,-6.054863930E-1
2.290062083E-1,-1.248732686E0,-1.788916349E0,-5.675795078E-1
2.389552083E-1,-1.172915101E0,-1.665597200E0,-5.609428287E-1
2.489032083E-1,-1.062368631E0,-1.511725545E0,-6.048530340E-1
2.588522083E-1,-9.271197915E-1,-1.344949126E0,-6.719651818E-1
2.688012083E-1,-7.755254507E-1,-1.137187123E0,-7.299467325E-1
2.787492083E-1,-6.557250023E-1,-8.379594684E-1,-7.736477852E-1
2.886982083E-1,-5.805988312E-1,-5.462458730E-1,-8.010162711E-1
2.986472083E-1,-5.600315332E-1,-3.788889945E-1,-8.052686453E-1
3.085952083E-1,-6.157509685E-1,-3.983175457E-1,-7.880316377E-1
3.185442083E-1,-7.289372683E-1,-5.476565957E-1,-7.657133937E-1
3.284932083E-1,-8.955478072E-1,-6.792021394E-1,-7.337325215E-1
3.384412083E-1,-1.078662157E0,-7.250795960E-1,-6.895903945E-1
3.483902083E-1,-1.240464449E0,-6.861308813E-1,-6.345803738E-1
3.583392083E-1,-1.339038014E0,-6.785045266E-1,-5.788985491E-1
3.682872083E-1,-1.343937397E0,-6.801959276E-1,-5.239298344E-1
3.782362083E-1,-1.250626445E0,-5.671662092E-1,-5.001990199E-1
3.881852083E-1,-1.055005074E0,-2.830554545E-1,-4.869960845E-1
3.981332083E-1,-7.992435694E-1,-3.235618770E-2,-4.510874450E-1
4.080822083E-1,-5.527962446E-1,7.367863506E-2,-3.906027973E-1
4.180302083E-1,-3.318244517E-1,1.121099759E-2,-3.161008656E-1
4.279792083E-1,-1.420233697E-1,-1.646761447E-1,-2.162879705E-1
4.379282083E-1,3.618915752E-2,-3.880608380E-1,-1.182444170E-1
4.478772083E-1,1.848622561E-1,-5.659447908E-1,-4.529403895E-2
4.578252083E-1,2.894848585E-1,-7.205607295E-1,-1.703944802E-2
4.677742083E-1,3.738697767E-1,-8.621320128E-1,-3.118935414E-2
4.777222083E-1,4.400868416E-1,-8.640554547E-1,-4.393664375E-2
4.876712083E-1,5.305008888E-1,-7.139407396E-1,-4.095070809E-2
4.976202083E-1,6.116430163E-1,-4.160110652E-1,-3.031996638E-2
5.075682083E-1,6.580659151E-1,-6.697342545E-2,-8.632890880E-2
5.175172083E-1,6.467249990E-1,2.631283700E-1,-2.321186513E-1
