"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.507966995E-3,4.388020474E1,1.253010136E2,2.365854517E2,NaN,NaN,3.319501400E1,3.044224584E1
1.138198376E-2,4.388023715E1,1.253009840E2,2.345846390E2,NaN,NaN,3.289875345E1,3.000000000E1
3.913795948E-2,4.388023491E1,1.253009849E2,2.345907454E2,NaN,NaN,3.288985256E1,3.000010894E1
1.020841002E0,4.388007585E1,1.253010817E2,2.341039886E2,NaN,NaN,2.648158647E1,3.000000000E1
5.739633918E0,4.388004661E1,1.253010988E2,2.341489100E2,NaN,NaN,2.604455451E1,3.276194679E1
5.745258927E0,4.388004661E1,1.253010988E2,2.341490047E2,NaN,NaN,2.604594058E1,3.276570048E1
6.832353950E0,4.388009860E1,1.253011309E2,2.340211019E2,NaN,NaN,2.550236724E1,3.000000000E1
