"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.142210833E-1,-1.883533173E0,1.976040802E0,1.070813232E1
9.241700833E-1,-1.818568268E0,1.881138153E0,1.091530151E1
9.341190833E-1,-1.575773163E0,1.917512512E0,1.089404572E1
9.440670833E-1,-1.549278259E0,1.990111542E0,1.080528030E1
9.540160833E-1,-1.737736359E0,2.148332520E0,1.052431458E1
9.639650833E-1,-1.872755585E0,2.452200623E0,1.001058289E1
9.739130833E-1,-1.891017609E0,2.754122772E0,9.613758087E0
9.838620833E-1,-1.698068848E0,3.023712158E0,9.387129364E0
9.938110833E-1,-1.410367126E0,3.096311188E0,9.335337067E0
1.003759083E0,-1.188229065E0,2.984194336E0,9.286538544E0
1.013708083E0,-1.141675873E0,2.811902618E0,9.165140991E0
1.023657083E0,-1.331780548E0,2.721790009E0,8.913065186E0
1.033605083E0,-1.570234680E0,2.686313782E0,8.578510895E0
1.043554083E0,-1.676363983E0,2.891537018E0,8.376281433E0
1.053503083E0,-1.848655701E0,3.022963715E0,8.736432495E0
1.063451083E0,-1.920356598E0,3.033741302E0,9.197024689E0
1.073400083E0,-1.866468658E0,2.927911377E0,9.444909210E0
1.083349083E0,-1.833836517E0,2.761607208E0,9.667945404E0
1.093297083E0,-1.782193909E0,2.602188721E0,9.869276733E0
1.103246083E0,-1.770368500E0,2.461481323E0,9.748927002E0
1.113195083E0,-1.794767761E0,2.349214783E0,9.391769714E0
1.123143083E0,-1.770518188E0,2.403102722E0,9.108708344E0
1.133092083E0,-1.804946594E0,2.477647705E0,8.956774292E0
1.143041083E0,-1.848506012E0,2.554438019E0,8.832981720E0
1.152989083E0,-1.774260406E0,2.644251251E0,8.734785919E0
1.162938083E0,-1.675765228E0,2.667902069E0,8.698411560E0
1.172887083E0,-1.603465576E0,2.631827087E0,8.752449188E0
1.182835083E0,-1.527274017E0,2.565964050E0,8.700058136E0
1.192784083E0,-1.457369385E0,2.447560272E0,8.679251404E0
1.202733083E0,-1.351838837E0,2.330803070E0,8.759185181E0
1.212681083E0,-1.294657745E0,2.234702911E0,8.725804596E0
