"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.460999996E-3,-8.981323242E-4,3.313210144E0,9.444160767E0
7.488999981E-3,7.903564453E-2,3.350482635E0,9.216933289E0
1.743899996E-2,8.607101440E-2,3.362906799E0,9.134155426E0
2.738900005E-2,1.169068909E-1,3.372187500E0,9.161548462E0
3.733900003E-2,7.948471069E-2,3.376528473E0,9.205107880E0
4.728800000E-2,3.996688843E-2,3.393742676E0,9.151669006E0
5.723799998E-2,-6.795867920E-2,3.398233337E0,9.060358887E0
6.718799996E-2,-8.412506104E-2,3.381019135E0,9.018895111E0
7.713800005E-2,-9.310638428E-2,3.362008667E0,9.052126007E0
8.708800003E-2,-8.382568359E-2,3.355422363E0,9.099128265E0
9.703700000E-2,-3.308120728E-2,3.342998199E0,9.120384064E0
1.069870000E-1,-2.874023438E-2,3.373085632E0,9.137598267E0
1.169370000E-1,-1.332229614E-2,3.353177032E0,9.170978851E0
1.268870000E-1,-2.215393066E-2,3.335513763E0,9.233548737E0
1.368360000E-1,-4.535568237E-2,3.316952362E0,9.344318390E0
1.467860000E-1,-8.532257080E-2,3.320694580E0,9.501790924E0
1.567360000E-1,-1.354682922E-1,3.310815125E0,9.620344391E0
1.666860000E-1,-1.143621826E-1,3.318898315E0,9.670190735E0
1.766360000E-1,-9.460327148E-2,3.256927185E0,9.802814941E0
1.865850000E-1,-1.960922241E-2,3.216211853E0,9.866732025E0
1.965350000E-1,1.228944397E-1,3.337759094E0,1.004875351E1
2.064850000E-1,4.700225830E-2,3.300336914E0,1.012359787E1
2.164350000E-1,-2.574645996E-2,3.214864655E0,1.029469208E1
2.263850000E-1,1.047821045E-2,3.257376251E0,1.053823563E1
2.363340000E-1,1.636097717E-1,3.386108551E0,1.062685135E1
2.462840000E-1,2.550695801E-1,3.547622681E0,1.065723816E1
2.562340000E-1,3.094065857E-1,3.603905640E0,1.067490143E1
2.661839999E-1,3.417393494E-1,3.542982330E0,1.059212357E1
2.761330000E-1,4.833448792E-1,3.608246613E0,1.040186920E1
2.860830000E-1,6.417155457E-1,3.786675568E0,1.008722351E1
2.960330000E-1,7.539820862E-1,3.860322418E0,9.620194702E0
3.059830000E-1,8.270301819E-1,3.880231018E0,9.143136749E0
3.159329999E-1,9.234297180E-1,3.924838257E0,8.710536346E0
3.258820000E-1,1.110241241E0,4.012106781E0,8.312813416E0
3.358320000E-1,1.244512024E0,4.060755615E0,8.028704224E0
3.457820000E-1,1.343306580E0,4.086951141E0,7.915240173E0
3.557320000E-1,1.401984558E0,4.066593475E0,7.777227173E0
3.656810001E-1,1.364861755E0,4.046535187E0,7.713459778E0
3.756310000E-1,1.351240082E0,4.046984253E0,7.634124756E0
3.855810000E-1,1.340312805E0,4.075275421E0,7.470365295E0
3.955310000E-1,1.361568604E0,4.136049042E0,7.345973969E0
4.054810000E-1,1.386716309E0,4.234394531E0,7.279362488E0
4.154300001E-1,1.429826660E0,4.278852081E0,7.172185364E0
4.253800000E-1,1.448537750E0,4.288282471E0,6.985972595E0
4.353300000E-1,1.472937012E0,4.310735779E0,6.821764069E0
4.452800000E-1,1.517544250E0,4.346661072E0,6.721322937E0
4.552300000E-1,1.542841644E0,4.405937805E0,6.708000641E0
4.651790000E-1,1.461860046E0,4.454137573E0,6.905290375E0
4.751290000E-1,1.321601715E0,4.489314423E0,7.253316650E0
4.850790000E-1,1.060245209E0,4.512665863E0,7.657476196E0
4.950290000E-1,8.045768738E-1,4.514911194E0,8.244854736E0
5.049780000E-1,6.565347290E-1,4.522096252E0,8.760532379E0
5.149280000E-1,6.976991272E-1,4.571792908E0,9.084907837E0
5.248780000E-1,7.735913086E-1,4.614603882E0,9.307794342E0
5.348280000E-1,8.629554749E-1,4.655468903E0,9.397607574E0
5.447780000E-1,9.577084351E-1,4.747228088E0,9.347461853E0
5.547270000E-1,9.439370728E-1,4.923112335E0,9.507479095E0
5.646770000E-1,8.460406494E-1,4.993316345E0,9.984836426E0
5.746270000E-1,8.723858643E-1,4.953798523E0,1.040456360E1
5.845770000E-1,9.907896423E-1,4.835544434E0,1.086051544E1
5.945270000E-1,1.090033264E0,4.742737427E0,1.133398087E1
6.044759999E-1,1.239721985E0,4.718188477E0,1.158994858E1
6.144260000E-1,1.338666229E0,4.758604431E0,1.175565399E1
6.243760000E-1,1.434766388E0,4.753515015E0,1.180340469E1
6.343260000E-1,1.541943512E0,4.647834778E0,1.169787415E1
6.442750000E-1,1.739382935E0,4.537963257E0,1.158875107E1
6.542249999E-1,1.996997223E0,4.433330841E0,1.151390671E1
6.641750000E-1,2.313888245E0,4.323010254E0,1.142948227E1
6.741250000E-1,2.539768524E0,4.205055542E0,1.118743561E1
6.840750000E-1,2.636467438E0,4.076173553E0,1.081755478E1
6.940240000E-1,2.643203430E0,4.057163086E0,1.028885422E1
7.039739999E-1,2.517614594E0,4.202510834E0,9.731563110E0
7.139241250E-1,2.314037933E0,4.405339050E0,9.266031189E0
7.238741250E-1,2.158810730E0,4.677024078E0,8.879085846E0
7.338241250E-1,1.825154572E0,4.876409454E0,8.608748016E0
7.437731250E-1,1.208137665E0,4.750221863E0,8.450077972E0
7.537231250E-1,3.245251465E-1,4.247866516E0,8.235124969E0
7.636731250E-1,-2.841091919E-1,3.816313934E0,7.944728851E0
7.736231250E-1,-4.650828552E-1,3.735032959E0,7.686515808E0
7.835721250E-1,-3.460803223E-1,3.767665100E0,7.504644012E0
7.935221250E-1,-1.212478638E-1,3.767665100E0,7.397317200E0
8.034721250E-1,-1.520837402E-1,3.640579376E0,7.289990387E0
8.134221249E-1,-3.558100891E-1,3.529061279E0,7.143445129E0
8.233721250E-1,-5.207670593E-1,3.480861511E0,7.079528046E0
8.333211250E-1,-5.896238708E-1,3.426524506E0,7.093898163E0
8.432711250E-1,-5.333409119E-1,3.495980072E0,7.393574982E0
8.532211250E-1,-5.043013000E-1,3.657045135E0,7.765401764E0
8.631711249E-1,-4.143383789E-1,3.855981445E0,8.160879364E0
8.731201250E-1,-4.041595459E-1,4.089645538E0,8.649762726E0
8.830701250E-1,-5.709127808E-1,4.324058075E0,9.141939240E0
8.930201250E-1,-7.430548096E-1,4.473896484E0,9.476493530E0
9.029701250E-1,-9.228309631E-1,4.517306213E0,9.514065399E0
9.129201249E-1,-1.015488281E0,4.511168976E0,9.301208038E0
9.228691250E-1,-9.131011963E-1,4.709506531E0,9.025331726E0
9.328191250E-1,-7.197033691E-1,5.023254089E0,8.691974945E0
9.427691250E-1,-6.203100586E-1,5.200335846E0,8.360713806E0
9.527191250E-1,-6.764433289E-1,5.225782928E0,8.289312286E0
9.626681251E-1,-1.003213806E0,5.079986115E0,8.421936493E0
9.726181250E-1,-1.384321289E0,4.845573578E0,8.728349304E0
9.825681250E-1,-1.604513397E0,4.524491272E0,9.024283905E0
9.925181250E-1,-1.594484253E0,4.267625427E0,9.417516174E0
1.002468125E0,-1.396296387E0,4.100722504E0,9.813891907E0
1.012417125E0,-1.173409882E0,4.029171295E0,9.929301910E0
1.022367125E0,-1.030756531E0,4.063300323E0,9.943522339E0
1.032317125E0,-9.117539978E-1,4.117038574E0,1.001013382E1
1.042267125E0,-8.161029053E-1,4.115391998E0,1.003153931E1
1.052217125E0,-7.559280396E-1,4.070635071E0,1.002465363E1
1.062166125E0,-7.583230591E-1,3.948489075E0,9.937983856E0
1.072116125E0,-7.491920471E-1,3.890409851E0,9.833501129E0
1.082066125E0,-8.214916992E-1,3.934118958E0,9.874964905E0
1.092016125E0,-9.695338440E-1,3.952231293E0,9.943222961E0
1.101965125E0,-1.145867157E0,3.852239227E0,9.870773621E0
1.111915125E0,-1.240620117E0,3.719465332E0,9.836943970E0
1.121865125E0,-1.232686615E0,3.645070038E0,9.898316345E0
1.131815125E0,-1.175505524E0,3.623814240E0,1.001986359E1
1.141765125E0,-1.057700500E0,3.679648132E0,1.020862106E1
1.151714125E0,-9.934840393E-1,3.707639923E0,1.037537430E1
1.161664125E0,-1.216520233E0,3.775897980E0,1.043764481E1
1.171614125E0,-1.662742310E0,3.973786469E0,1.030546967E1
1.181564125E0,-2.015708313E0,4.085304565E0,1.003273682E1
1.191513125E0,-2.165546722E0,4.019291840E0,9.758058014E0
1.201463125E0,-2.095941467E0,4.017645264E0,9.626631317E0
1.211413125E0,-1.879341888E0,4.096381531E0,9.534722443E0
1.221363125E0,-1.483714600E0,4.227808228E0,9.383087769E0
1.231313125E0,-1.192420349E0,4.419709167E0,9.224417725E0
1.241262125E0,-1.003812561E0,4.666246490E0,8.972192230E0
1.251212125E0,-1.151854706E0,4.925058289E0,8.533155212E0
1.261162125E0,-1.604064331E0,5.247338104E0,8.113577728E0
1.271112125E0,-1.906285858E0,5.466332703E0,7.728278961E0
1.281062125E0,-2.073637848E0,5.539680176E0,7.370822296E0
1.291011125E0,-2.074835358E0,5.612428894E0,7.154522095E0
1.300961125E0,-1.974244537E0,5.720204773E0,6.926246796E0
1.310911125E0,-1.817520447E0,5.863606567E0,6.886130219E0
1.320861125E0,-1.735940094E0,6.030210114E0,6.998247070E0
1.330810125E0,-1.587598572E0,6.144721985E0,7.289541321E0
1.340760125E0,-1.502575378E0,6.305337982E0,7.659122772E0
1.350710125E0,-1.453178101E0,6.345304871E0,7.667205963E0
1.360660125E0,-1.580413513E0,6.410569153E0,7.351063385E0
1.370610125E0,-1.654359741E0,6.462511139E0,7.088060303E0
1.380559125E0,-1.595532074E0,6.427933044E0,6.970255280E0
1.390509125E0,-1.458117828E0,6.319109344E0,7.029981079E0
1.400459125E0,-1.122066650E0,6.252797241E0,7.363487549E0
1.410409125E0,-6.831793213E-1,6.297554169E0,7.828570404E0
1.420358125E0,-2.957849121E-1,6.293662262E0,8.175997925E0
1.430308125E0,-5.972579956E-2,6.196963348E0,8.344547424E0
1.440258125E0,7.948471069E-2,6.069129181E0,8.217012634E0
1.450208125E0,2.577639771E-1,6.005212097E0,7.809859314E0
