"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.756999969E-3,1.042860448E-1,5.443508551E-2,1.005477924E-2
1.370699995E-2,9.164748341E-2,6.101921946E-2,4.693303723E-3
2.365700004E-2,7.729020715E-2,5.582597479E-2,-2.658479614E-3
3.360700002E-2,6.600612402E-2,5.500678346E-2,-9.831703268E-3
4.355599999E-2,5.492660031E-2,4.157036170E-2,-1.361609343E-2
5.350599997E-2,3.702829033E-2,1.580401137E-2,-1.141685527E-2
6.345599995E-2,2.333793230E-2,-2.458463237E-2,-1.042839140E-2
7.340600004E-2,1.365973800E-2,-4.772483930E-2,-8.931960911E-3
8.335600002E-2,1.318508573E-2,-5.115987733E-2,-7.380711846E-3
9.330499999E-2,1.173392870E-2,-4.346680269E-2,-1.470891293E-3
1.032550000E-1,1.443576068E-2,-3.530668467E-2,3.629063023E-3
1.132049999E-1,1.311456598E-2,-1.547279302E-2,9.528497234E-3
1.231550000E-1,1.992328838E-2,-1.542387344E-2,9.376573376E-3
1.331050000E-1,3.865516558E-2,-2.986193635E-2,1.226557046E-2
1.430540000E-1,6.919069588E-2,-4.734340683E-2,1.793222502E-2
1.530040000E-1,9.635600448E-2,-7.498621941E-2,3.359533846E-2
1.629539999E-1,1.134963110E-1,-7.559183985E-2,5.962710455E-2
1.729040000E-1,1.353981495E-1,-7.816392183E-2,9.191527218E-2
1.828530000E-1,1.719332784E-1,-1.469558626E-1,1.006004140E-1
1.928030000E-1,2.328405678E-1,-3.291895986E-1,7.250006497E-2
2.027530000E-1,2.881530523E-1,-5.549544096E-1,3.911541775E-2
2.127029999E-1,3.382077217E-1,-7.389194369E-1,4.356638528E-3
2.226530000E-1,4.004284143E-1,-8.574270606E-1,-2.623941749E-2
2.326020000E-1,4.667757452E-1,-9.318687916E-1,-5.676670000E-2
2.425520000E-1,5.265502334E-1,-9.850189090E-1,-6.663172692E-2
2.525020000E-1,5.816987157E-1,-9.881326556E-1,-5.066767335E-2
2.624520001E-1,6.352980137E-1,-9.550758600E-1,-2.308530919E-2
2.724020000E-1,6.932334900E-1,-9.023380876E-1,-5.175818224E-3
2.823510000E-1,7.379213572E-1,-8.766005039E-1,8.949954063E-3
2.923010000E-1,7.472562790E-1,-8.627762794E-1,1.817301288E-2
3.022510000E-1,7.243297100E-1,-8.405241370E-1,2.372142486E-2
3.122010001E-1,6.743839383E-1,-8.199717402E-1,1.701904647E-2
3.221500000E-1,6.096261740E-1,-8.128008842E-1,-6.333535537E-3
3.321000000E-1,5.501127839E-1,-7.896021008E-1,-3.747920319E-2
3.420500000E-1,4.984869957E-1,-7.519600391E-1,-6.300894171E-2
