"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.756999969E-3,-1.185432243E1,1.959480286E0,-6.617579651E1
1.370699995E-2,-1.188680840E1,1.919982910E0,-6.605105591E1
2.365700004E-2,-1.186040020E1,1.864042282E0,-6.598699188E1
3.360700002E-2,-1.195620632E1,1.768512726E0,-6.589379883E1
4.355599999E-2,-1.192950535E1,1.624948502E0,-6.588545990E1
5.350599997E-2,-1.178151512E1,1.683828354E0,-6.595209503E1
6.345599995E-2,-1.178151512E1,1.683828354E0,-6.595209503E1
7.340600004E-2,-1.173829365E1,1.666385651E0,-6.583834839E1
8.335600002E-2,-1.168453312E1,1.583776474E0,-6.576991272E1
9.330499999E-2,-1.176428890E1,1.253808975E0,-6.577574158E1
1.032550000E-1,-1.183267117E1,1.370576859E0,-6.593145752E1
1.132049999E-1,-1.185749340E1,1.369029999E0,-6.581991577E1
1.231550000E-1,-1.189918327E1,1.311325073E0,-6.588698578E1
1.331050000E-1,-1.208108711E1,1.378322601E0,-6.579973602E1
1.430540000E-1,-1.204224586E1,1.441316605E0,-6.582338715E1
1.530040000E-1,-1.210532093E1,1.333198547E0,-6.583173370E1
1.629539999E-1,-1.200676632E1,1.279916763E0,-6.581140137E1
1.729040000E-1,-1.220451450E1,1.216701508E0,-6.572764587E1
1.828530000E-1,-1.227370930E1,1.053918839E0,-6.572838593E1
1.928030000E-1,-1.224957466E1,8.594818115E-1,-6.572018433E1
2.027530000E-1,-1.237090302E1,8.635158539E-1,-6.544438171E1
2.127029999E-1,-1.257681561E1,6.307449341E-1,-6.526352692E1
2.226530000E-1,-1.318633938E1,3.243980408E-1,-6.514272308E1
2.326020000E-1,-1.366728592E1,-7.156372070E-3,-6.499242401E1
2.425520000E-1,-1.454882622E1,-4.997806549E-1,-6.472531891E1
2.525020000E-1,-1.515892410E1,-9.807167053E-1,-6.478778839E1
2.624520001E-1,-1.576310158E1,-1.416616440E0,-6.448064423E1
2.724020000E-1,-1.641176796E1,-2.064056396E0,-6.424916077E1
2.823510000E-1,-1.695387650E1,-2.450147629E0,-6.393669891E1
2.923010000E-1,-1.746591187E1,-2.919559479E0,-6.365933990E1
3.022510000E-1,-1.805800819E1,-3.478412628E0,-6.328769684E1
3.122010001E-1,-1.856919861E1,-3.980678558E0,-6.280213928E1
3.221500000E-1,-1.916557312E1,-4.583534241E0,-6.255286026E1
3.321000000E-1,-1.969958496E1,-4.856039047E0,-6.224422073E1
3.420500000E-1,-1.969958496E1,-4.856039047E0,-6.224422073E1
3.520000000E-1,-2.017270660E1,-5.232248306E0,-6.196902084E1
3.619500000E-1,-2.060923767E1,-5.674333572E0,-6.191920090E1
3.718990000E-1,-2.096570969E1,-6.004510880E0,-6.146722794E1
3.818490000E-1,-2.117113876E1,-6.427436829E0,-6.155451584E1
3.917990000E-1,-2.150073624E1,-6.509052277E0,-6.141279984E1
4.017490000E-1,-2.150707436E1,-6.778240204E0,-6.114282608E1
4.116980000E-1,-2.159403419E1,-6.944026947E0,-6.109057236E1
4.216480000E-1,-2.168753242E1,-7.090984344E0,-6.103784561E1
4.315980000E-1,-2.189115524E1,-7.336370468E0,-6.089867783E1
4.415480000E-1,-2.189691925E1,-7.503799438E0,-6.098451614E1
4.514980000E-1,-2.206587982E1,-7.596267700E0,-6.072269058E1
4.614470000E-1,-2.202073288E1,-7.694408417E0,-6.074702072E1
4.713970000E-1,-2.209523392E1,-7.508071899E0,-6.055685043E1
4.813470000E-1,-2.214045334E1,-7.475515366E0,-6.069851303E1
4.912970000E-1,-2.232721519E1,-7.215324402E0,-6.096006393E1
5.012469999E-1,-2.249447441E1,-6.955207825E0,-6.064573288E1
5.111960000E-1,-2.260165787E1,-6.760499954E0,-6.067802811E1
5.211460000E-1,-2.325381851E1,-6.486110687E0,-6.040964890E1
5.310960000E-1,-2.363946342E1,-6.287307739E0,-6.041418076E1
5.410460000E-1,-2.421744156E1,-6.139228821E0,-6.007385635E1
5.509949999E-1,-2.497770309E1,-5.775226593E0,-5.993968964E1
5.609450000E-1,-2.591392899E1,-5.348134995E0,-5.954801178E1
5.708950000E-1,-2.651348877E1,-5.286880493E0,-5.943192291E1
5.808450000E-1,-2.724780846E1,-4.725809097E0,-5.901185608E1
5.907950000E-1,-2.795429802E1,-4.374204636E0,-5.853378296E1
6.007440001E-1,-2.842084694E1,-4.185575485E0,-5.835782623E1
6.106940000E-1,-2.877083778E1,-4.053710938E0,-5.798817444E1
