"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.890991211E-3,4.188162459E1,1.239470208E2,1.123756781E2,NaN,NaN,4.329501400E1,1.323662358E1
2.926003933E-2,4.188162490E1,1.239470175E2,1.119515792E2,NaN,NaN,4.315944119E1,7.734250269E0
8.074910641E-1,4.188160684E1,1.239471262E2,1.119515792E2,NaN,NaN,3.275377124E1,7.734257925E0
7.100602031E0,4.188163598E1,1.239472025E2,1.119515792E2,NaN,NaN,2.977162133E1,7.730983239E0
1.272018600E1,4.188131774E1,1.239470585E2,1.119515792E2,NaN,NaN,3.391725471E1,7.740290284E0
1.375827599E1,4.188118881E1,1.239470168E2,1.119515792E2,NaN,NaN,4.034910755E1,7.740295392E0
1.376976001E1,4.188118881E1,1.239470168E2,1.119515792E2,NaN,NaN,4.034915262E1,7.754201699E0
1.916753900E1,4.188138540E1,1.239471576E2,1.119515792E2,NaN,NaN,3.288655196E1,7.761201589E0
2.471210706E1,4.188155446E1,1.239472715E2,1.119515792E2,NaN,NaN,3.896664347E1,7.737016553E0
3.086994004E1,4.188160372E1,1.239472599E2,1.119515792E2,NaN,NaN,3.361269424E1,7.754030553E0
3.678964603E1,4.188168095E1,1.239472686E2,1.119515792E2,NaN,NaN,4.954608489E1,7.767701598E0
3.680499101E1,4.188168095E1,1.239472686E2,1.119515792E2,NaN,NaN,4.954616169E1,7.767707014E0
3.685861707E1,4.188161818E1,1.239472461E2,1.119515792E2,NaN,NaN,3.710964580E1,7.767920130E0
