"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773921779736577E9,"2026-03-19 20:02:59.737 UTC+08:00"
"PAUSE",1.060278462499264E1,1.773921790338982E9,"2026-03-19 20:03:10.339 UTC+08:00"
