east_cell,north_cell,east_m,north_m,b_total_uT,b_mean_uT,sample_count,session_count,b_q25_uT,b_q75_uT,b_iqr_uT
3,3,-3.560345214,-7.617415896,20.753520674,20.770683517,99,1,20.680606854,20.875705476,0.195098622
3,4,-3.567348794,-7.463743648,20.519341251,20.535454922,55,1,20.464698826,20.608975835,0.144277009
3,5,-3.566625922,-7.350486398,20.413056776,20.417125719,28,1,20.339031400,20.524794204,0.185762805
5,37,-3.123239750,-2.476409283,52.746193116,52.767745656,19,1,52.693497235,52.871177906,0.177680671
5,38,-3.121912699,-2.363981438,52.653379037,52.658017467,40,1,52.578064605,52.775304816,0.197240211
5,39,-3.128341272,-2.214867652,52.779126874,52.773967908,32,1,52.666815600,52.877195841,0.210380241
5,40,-3.132921560,-2.061138398,52.831507213,52.838810700,33,1,52.777247258,52.923329213,0.146081955
5,41,-3.138250131,-1.902301371,52.433154085,52.460855095,34,1,52.381853959,52.500724619,0.118870659
5,42,-3.142090677,-1.756373628,52.697375979,52.678972081,33,1,52.649133803,52.722424355,0.073290552
5,43,-3.142339762,-1.609332352,52.513170355,52.557417661,32,1,52.432096934,52.673137023,0.241040089
5,44,-3.147784578,-1.459021325,52.579555995,52.583272421,36,1,52.508609140,52.662798709,0.154189568
5,45,-3.151735749,-1.305559937,52.790430258,52.778788477,39,1,52.667127131,52.876408864,0.209281733
5,46,-3.151974017,-1.156094434,52.974465210,52.976277008,42,1,52.909417710,53.049133656,0.139715946
5,47,-3.151559787,-1.004634217,52.944671198,52.945910962,44,1,52.837160705,53.050700880,0.213540175
5,48,-3.151432055,-0.851535585,52.743726542,52.730553325,61,1,52.635244144,52.847519730,0.212275586
5,49,-3.152134215,-0.712662395,52.729684581,52.725373135,52,1,52.621836584,52.828738046,0.206901462
5,50,-3.151613027,-0.564691074,52.625408948,52.636567506,42,1,52.537752095,52.736744894,0.198992799
5,51,-3.151050925,-0.417551270,52.713635846,52.706742104,40,1,52.637124750,52.782059078,0.144934328
5,52,-3.146686701,-0.253254601,52.907305165,52.908814444,38,1,52.827517610,53.005918961,0.178401352
5,53,-3.133417270,-0.114253277,52.878668034,52.897747842,36,1,52.790624234,53.005467993,0.214843758
5,54,-3.127963533,0.039986859,53.089396752,53.077066655,38,1,52.969305738,53.158341814,0.189036076
5,55,-3.122912580,0.181659398,53.061937794,53.082610717,38,1,52.973872147,53.201260630,0.227388482
5,56,-3.122673260,0.349604688,53.118649289,53.098871295,38,1,52.999708765,53.208736012,0.209027247
5,57,-3.122724511,0.496641260,53.054020164,53.043578300,39,1,52.987102251,53.119508914,0.132406662
5,58,-3.121546017,0.649226334,52.889453370,52.877059928,39,1,52.790386484,52.947851727,0.157465242
5,59,-3.132270055,0.795737611,52.915948837,52.913873611,43,1,52.812501204,53.019656185,0.207154981
5,60,-3.145948055,0.961512200,52.879773311,52.877957839,41,1,52.766027625,52.945154990,0.179127365
5,61,-3.164601591,1.112769727,52.838772535,52.837457651,63,1,52.744557083,52.921561775,0.177004692
5,62,-3.170257342,1.180718955,52.922928852,52.908190067,143,1,52.830843174,53.024506975,0.193663801
6,20,-2.968252054,-4.987262284,52.925481254,52.925481254,1,1,52.925481254,52.925481254,0.000000000
6,21,-2.979317470,-4.907299169,53.164580798,53.190443013,38,1,53.064166411,53.287193853,0.223027442
6,22,-2.986060553,-4.762093196,53.240354423,53.248233778,39,1,53.150005160,53.350492736,0.200487576
6,23,-2.996312053,-4.614726974,53.066706784,53.115015979,39,1,52.990707919,53.205920726,0.215212807
6,24,-3.010051606,-4.456517406,52.992241150,52.960334688,41,1,52.873309013,53.065536122,0.192227109
6,25,-3.025566780,-4.307137055,52.941861229,52.945858893,37,1,52.878236373,53.002214933,0.123978560
6,26,-3.030454513,-4.166630019,52.924878894,52.963376983,36,1,52.877294627,53.053948326,0.176653700
6,27,-3.042497555,-4.009066004,52.916494325,52.893892672,36,1,52.846433363,52.959522717,0.113089354
6,28,-3.053040517,-3.859155602,52.792964384,52.809495077,37,1,52.690170926,52.868502599,0.178331673
6,29,-3.065816775,-3.706279014,52.827917309,52.839531049,35,1,52.774782858,52.898912312,0.124129454
6,30,-3.070718801,-3.561502634,52.702778573,52.698917704,34,1,52.651495991,52.770936015,0.119440024
6,31,-3.079412229,-3.410982888,52.603801646,52.610537707,36,1,52.550634120,52.671911516,0.121277395
6,32,-3.085936791,-3.261149431,52.766819290,52.786205853,36,1,52.733065520,52.865916440,0.132850919
6,33,-3.094788471,-3.112625383,52.671495156,52.686582662,35,1,52.621012447,52.754932378,0.133919932
6,34,-3.102897085,-2.962517220,52.767511059,52.782039909,36,1,52.711983409,52.825031610,0.113048200
6,35,-3.108945704,-2.806399057,52.862897798,52.864984607,35,1,52.745284657,52.969339262,0.224054605
6,36,-3.113456762,-2.658031341,52.767519344,52.767274700,38,1,52.703744449,52.832229434,0.128484985
6,37,-3.115989896,-2.546499145,52.644912076,52.648610279,20,1,52.584578948,52.718477328,0.133898380
7,10,-2.820283079,-6.513741015,53.585035735,53.582683791,15,1,53.511189925,53.655017174,0.143827248
7,11,-2.834599924,-6.405467464,53.527544051,53.526056645,40,1,53.447771763,53.597651019,0.149879256
7,12,-2.848860191,-6.258562482,53.426326319,53.437901878,37,1,53.343872065,53.550808047,0.206935982
