Time (s),Quaternion X,Quaternion Y,Quaternion Z,Quaternion W,Roll (rad),Pitch (rad),Yaw (rad),Gravity X (m/s^2),Gravity Y (m/s^2),Gravity Z (m/s^2),User Acceleration X (m/s^2),User Acceleration Y (m/s^2),User Acceleration Z (m/s^2),Rotation Rate X (rad/s),Rotation Rate Y (rad/s),Rotation Rate Z (rad/s),Magnetic Field X (µT),Magnetic Field Y (µT),Magnetic Field Z (µT),Magnetic Accuracy
0.0196130417,0.0432558609,0.0108612891,3.11508542E-17,0.999005016,0.0217841909,0.0865335985,-0.000943157974,0.212813771,-0.847546073,-9.76763842,0.119831006,0.0570090044,-0.0536760606,0.179138154,-0.108030304,0.0928304121,-2.8585968,19.7030411,-46.3831787,2
0.0295710417,0.0440921442,0.010475058,0.000407613071,0.998972475,0.0209757418,0.0882165913,-0.000109773924,0.20488685,-0.863987577,-9.76636709,0.032139516,0.0706073947,0.0671574735,0.150870562,-0.0414629988,0.0798363164,-2.93338013,19.6920395,-46.4872437,2
0.0395280417,0.0447376851,0.0103581499,0.000739338936,0.998944828,0.0207126936,0.0895157763,0.000552530605,0.202294404,-0.876677986,-9.7652904,-0.0617843291,0.0948199719,0.144191613,0.111122504,-0.00808759034,0.0563556701,-2.97782898,19.6519699,-46.5040588,2
0.0494860417,0.0452030516,0.0102839149,0.000959257105,0.99892444,0.0205444096,0.0904518847,0.000990772487,0.200634106,-0.885820931,-9.76449954,-0.220086611,0.0782251763,0.122001993,0.0786463246,-0.0169159696,0.0384331271,-2.88100433,19.7018509,-46.4988403,2
0.0594430417,0.0455583893,0.0101737325,0.00112014425,0.99890925,0.0203089359,0.091166418,0.00131631392,0.19832192,-0.892799246,-9.76391093,-0.214632017,0.0615607494,0.0823585497,0.0685801059,-0.0223328378,0.0324777663,-2.96798706,19.5719376,-46.6912537,2
0.0694010417,0.0459441349,0.0100100067,0.00128039888,0.998893055,0.0199658485,0.091941668,0.00164511003,0.194958143,-0.900369973,-9.76328374,-0.153657799,0.013615999,-0.0225660521,0.0876938775,-0.0460783839,0.039566569,-3.0036087,19.6105881,-46.5157166,2
0.0793590417,0.0464392204,0.00968278884,0.00148466065,0.998873068,0.0192902988,0.0929362506,0.00207561146,0.188345155,-0.910081878,-9.76251334,-0.0705799587,-0.00211056241,0.0519306782,0.106640711,-0.0771691725,0.0516292304,-3.01779175,19.3962173,-46.7675171,2
0.0893160417,0.0469368146,0.00930159417,0.00174495563,0.998853077,0.0185006629,0.0939365147,0.00262430721,0.180619328,-0.919848362,-9.76174352,-0.0562700957,0.0320467779,0.319312033,0.0900643989,-0.0684401318,0.0593177788,-3.0504303,19.5887985,-46.5535278,2
0.0992740417,0.0472784028,0.00902951797,0.00202399836,0.998838902,0.0179278425,0.0946247131,0.00320383227,0.175016193,-0.926567295,-9.76121044,-0.0762550087,0.0612114245,0.512858337,0.0434303358,-0.0322456397,0.0579081103,-2.97983551,19.5028305,-46.5643616,2
0.109232042,0.0473699171,0.0089995304,0.00231435441,0.99883424,0.0178398846,0.0948130366,0.00378771999,0.174154498,-0.928405835,-9.76105086,-0.072699837,0.0465898287,0.60308046,-0.00744243199,0.0298472941,0.0593073331,-2.97394562,19.5620651,-46.6941223,2
0.119189042,0.0472587627,0.00927114193,0.00260103563,0.998836309,0.0183579668,0.0945967863,0.00433914589,0.179215179,-0.926294615,-9.76116017,-0.0994579522,0.0123065239,0.514454082,-0.0346959941,0.0837068632,0.0492440164,-3.04828644,19.4360733,-46.6188965,2
0.129147042,0.047077831,0.00974598237,0.00284582287,0.998839586,0.0192881762,0.0942413107,0.00478866925,0.18830137,-0.922824162,-9.7613174,-0.124555368,-0.0335113706,0.279531227,-0.0326770544,0.105932273,0.0393170863,-3.04816437,19.4177628,-46.7155762,2
0.139105042,0.046990027,0.0102604285,0.00304572261,0.998838016,0.0203019285,0.0940720393,0.00514285319,0.198199993,-0.9211715,-9.76127766,-0.117245702,-0.0532701102,0.0147825586,-0.000567204552,0.10226842,0.0317236781,-2.96795654,19.3637619,-46.5513,2
0.149062042,0.047068624,0.0106765961,0.00320702669,0.998829431,0.0211215724,0.0942349435,0.00542557876,0.206197531,-0.922761984,-9.76096202,-0.0930711189,-0.0515300616,-0.192183199,0.0340213999,0.0624416433,0.0265888348,-2.84888458,19.3892593,-46.5527954,2
0.159020042,0.0472697902,0.0108544737,0.00334598239,0.998817526,0.0214646483,0.0946416491,0.00568333875,0.209538201,-0.926732641,-9.76051427,-0.0485277562,-0.0515996197,-0.136516256,0.0432307459,0.0166084208,0.0254783649,-3.02508545,19.3546829,-46.6107483,2
