"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
0.00218704167,0.150237173,-0.269972086,0.0905858278
0.0121450417,0.175932676,-0.17094937,0.100102097
0.0221030417,0.173003465,-0.0875740573,0.0949984193
0.0320600417,0.135570079,-0.0242584683,0.0775051787
0.0420180417,0.0963225439,-0.00697721587,0.0541045144
0.0519760417,0.0705109164,-0.0169211924,0.0390914753
0.0619330417,0.0666330904,-0.0230118427,0.0351236314
0.0718910417,0.0906055346,-0.0539212897,0.0458489805
0.0818490417,0.102036618,-0.0739538521,0.0578228198
0.0918060417,0.0760715976,-0.0592497401,0.0635699183
0.101764042,0.0269048512,-0.0172104128,0.0625435412
0.111721042,-0.0195358843,0.0461288802,0.0604377761
0.121679042,-0.042238798,0.0944418162,0.0507686399
0.131637042,-0.0296436455,0.107739776,0.0411863178
0.141594042,0.00349566527,0.100845657,0.0318514071
0.151552042,0.0367622748,0.0497260094,0.0304505844
0.161510042,0.0398123935,0.0121695809,0.0267147012
0.171467042,0.0195332207,-0.00225809426,0.0180977769
0.181425042,-0.0145674907,-0.0314343572,0.0205039438
0.191383042,-0.0530054271,-0.0505822189,0.0346469283
0.201340042,-0.0769104958,-0.0651172176,0.0400076024
0.211298042,-0.0665175095,-0.0490754023,0.0401580706
0.221256042,-0.0242888276,-0.000294545607,0.0367673337
0.231213042,0.0386608429,0.0386896059,0.0176572911
0.241171042,0.0848475099,0.0641100109,-0.000717721879
0.251129042,0.0902321562,0.0731083006,-0.00765658822
0.261086042,0.0731780753,0.0470516644,-0.00674232468
0.271044042,0.0385188982,0.00129722571,0.00245277141
0.281001042,0.0024114924,-0.0340807401,0.0183009766
0.290959042,-0.0207939614,-0.0421479866,0.0185814071
0.300917042,-0.0277163163,-0.0245833732,0.0106454538
0.310874042,-0.0224403273,-0.0135269938,0.0151797514
0.320832042,-0.0168143995,-0.0147168944,0.0189553145
0.330790042,-0.0194850173,-0.0138827926,0.0169323776
0.340747042,-0.0266566444,-0.00580222905,0.0114353476
0.350705042,-0.0266465247,0.0142809348,0.0103820674
0.360663042,-0.022786539,0.0074906731,0.00730425166
0.370620042,-0.0182692856,-0.0046962183,0.000800812559
0.380578042,-0.012265455,-0.0114795556,0.00157579244
0.390536042,-0.0132777225,-0.0109072421,0.0115000624
0.400493042,-0.0136750657,0.00231748284,0.0166189242
0.410451042,-0.00141839962,0.0255738031,0.0120635871
0.420409042,0.0284180585,0.0487172045,0.0125347003
0.430366042,0.0534296706,0.0515382923,0.0127413617
0.440324042,0.0531212762,0.0448729321,0.00953251868
0.450281042,0.0239463449,0.0236680452,0.00507651782
0.460239042,-0.0151568484,-0.000295344566,0.0072046495
0.470197042,-0.0487584844,-0.0094318511,0.0104973819
0.480154042,-0.0634966865,-0.0093953656,0.0126705216
0.490112042,-0.0547479354,-0.000620516541,0.0112257563
0.500070042,-0.0179821961,0.0173116121,0.00666722376
0.510027042,0.0336429141,0.0263919253,0.000372842536
0.519985042,0.0800812542,0.0144082336,-0.00712155923
0.529943042,0.0870123953,-0.00319286389,-0.0182264075
0.539900042,0.0544296876,-0.0226421952,-0.0241838992
0.549858042,-0.00971308071,-0.0690869242,-0.0300306026
0.559816042,-0.0940972045,-0.09770073,-0.0377268717
0.569773042,-0.158325464,-0.0372578911,-0.0470508672
0.579731042,-0.16289252,0.045497179,-0.0478042737
0.589689042,-0.107575461,0.0866874903,-0.0259759407
0.599646042,-0.0173227973,0.100478671,0.00987872947
0.609604042,0.0578995198,0.101853929,0.0318263732
0.619561042,0.103386045,0.104675278,0.0458617657
0.629519042,0.117449932,0.095799759,0.0572584942
