"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.861523333E-1,-3.193459167E0,2.016756134E0,9.241482239E0
7.960963333E-1,-3.096311188E0,2.002236328E0,9.201814728E0
8.060413334E-1,-3.023712158E0,1.862726440E0,9.361682281E0
8.159853332E-1,-2.807411957E0,1.654210052E0,9.703421631E0
8.259293332E-1,-2.436183929E0,1.433419189E0,1.002480331E1
8.358733333E-1,-2.030677185E0,1.175056458E0,1.029618896E1
8.458183333E-1,-1.659000092E0,8.783734131E-1,1.045291306E1
8.557623331E-1,-1.330732727E0,6.544390869E-1,1.048943710E1
8.657063332E-1,-1.024469604E0,4.688250732E-1,1.042117905E1
8.756513332E-1,-7.286846924E-1,3.948788452E-1,1.027672943E1
8.855953333E-1,-4.867877197E-1,3.917353821E-1,9.922565918E0
8.955393333E-1,-3.016227722E-1,3.170407104E-1,9.462572479E0
9.054833332E-1,-1.483415222E-1,1.910028076E-1,9.088650055E0
9.154283332E-1,3.158432007E-2,1.652563477E-1,8.878636780E0
9.253723333E-1,2.447410583E-1,1.920506287E-1,8.816965027E0
9.353163333E-1,5.900729370E-1,3.098556519E-1,8.721014557E0
9.452613331E-1,1.028960266E0,4.833448792E-1,8.675209808E0
9.552053332E-1,1.326990509E0,5.739065552E-1,8.593180389E0
9.651493332E-1,1.628164215E0,7.783813477E-1,8.408763885E0
9.750943333E-1,1.816772003E0,1.032403107E0,8.208779755E0
9.850383333E-1,1.930984497E0,1.254690857E0,8.005652161E0
9.949823332E-1,1.989961853E0,1.637295227E0,7.831264801E0
1.004926333E0,2.003733215E0,2.176174622E0,7.693551178E0
1.014871333E0,1.967807922E0,2.796933746E0,7.589966583E0
1.024815333E0,1.960922241E0,3.400927734E0,7.442523193E0
1.034759333E0,1.978435822E0,3.905378723E0,7.117848358E0
1.044704333E0,1.827399902E0,4.253854065E0,6.862479401E0
1.054648333E0,1.451082458E0,4.415368195E0,6.891818390E0
1.064592333E0,9.406439209E-1,4.344864807E0,7.330106964E0
1.074536333E0,4.343966675E-1,4.064348145E0,8.146958313E0
1.084481333E0,2.149530029E-1,3.659140778E0,9.489666138E0
1.094425333E0,8.532257080E-2,3.050955505E0,1.125150238E1
1.104369333E0,1.794767761E-1,2.415227509E0,1.294298492E1
1.114314333E0,6.569837952E-1,2.063309326E0,1.408496017E1
1.124258333E0,1.224154358E0,1.903292084E0,1.445693665E1
1.134202333E0,1.687740326E0,1.886526947E0,1.429886536E1
1.144147333E0,2.002535706E0,1.933678894E0,1.379142059E1
1.154091333E0,1.980980530E0,1.986519012E0,1.296962952E1
1.164035333E0,1.866169281E0,2.032024384E0,1.196267349E1
1.173979333E0,1.911075897E0,2.185155945E0,1.100661163E1
1.183924333E0,2.007026367E0,2.347418518E0,1.021056702E1
1.193868333E0,2.073488159E0,2.451601868E0,9.643246765E0
1.203812333E0,2.121089172E0,2.643802185E0,9.109456787E0
1.213757333E0,2.039808197E0,2.788102112E0,8.687633972E0
1.223701333E0,1.798360291E0,2.933150482E0,8.252788239E0
1.233645333E0,1.476230164E0,3.076851654E0,7.836054840E0
1.243589333E0,1.008003845E0,3.190764771E0,7.633526001E0
1.253534333E0,5.023553467E-1,3.261717224E0,7.898325348E0
1.263478333E0,4.490661621E-4,3.286415863E0,8.504714355E0
1.273422333E0,-5.216651917E-1,3.322041779E0,9.061257019E0
1.283367333E0,-9.624984741E-1,3.398233337E0,9.449998627E0
1.293311333E0,-1.334025879E0,3.448828125E0,9.690249023E0
1.303255333E0,-1.618584137E0,3.394491119E0,9.701475677E0
