"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.049849996E-2,-2.184393883E1,-2.112543869E1,-4.496734619E1
2.044250001E-2,-2.185080528E1,-2.115487289E1,-4.486186981E1
3.038649983E-2,-2.188713264E1,-2.109698105E1,-4.478894043E1
4.033149988E-2,-2.197695351E1,-2.107524872E1,-4.496840668E1
5.027549993E-2,-2.192550468E1,-2.105414963E1,-4.486257935E1
6.021949998E-2,-2.215304375E1,-2.105990219E1,-4.460675049E1
7.016350003E-2,-2.225830269E1,-2.098694992E1,-4.492093658E1
8.010849985E-2,-2.224408150E1,-2.095234680E1,-4.483269501E1
9.005249990E-2,-2.228904533E1,-2.087340927E1,-4.501411438E1
9.999649995E-2,-2.221156883E1,-2.059882736E1,-4.502455902E1
1.099415000E-1,-2.232402611E1,-2.057954979E1,-4.498945618E1
1.198854998E-1,-2.232846832E1,-2.046096802E1,-4.498086548E1
1.298294999E-1,-2.250118256E1,-2.030437088E1,-4.499282074E1
1.397744999E-1,-2.251409531E1,-2.020947838E1,-4.501252747E1
1.497185000E-1,-2.254953766E1,-2.008167267E1,-4.506426239E1
1.596625000E-1,-2.255654526E1,-2.006781769E1,-4.491397858E1
1.696064998E-1,-2.272662354E1,-2.004321098E1,-4.505355072E1
1.795514999E-1,-2.263357162E1,-1.994773483E1,-4.514916229E1
1.894954999E-1,-2.263389587E1,-1.978097725E1,-4.495711517E1
1.994395000E-1,-2.263389587E1,-1.978097725E1,-4.495711517E1
2.093844998E-1,-2.250639343E1,-1.962781715E1,-4.498529816E1
2.193284999E-1,-2.262600708E1,-1.954847717E1,-4.530291748E1
2.292724999E-1,-2.268872452E1,-1.964294815E1,-4.525367737E1
2.392165000E-1,-2.252232361E1,-1.941017532E1,-4.523181915E1
2.491615000E-1,-2.278488159E1,-1.930397415E1,-4.515321350E1
2.591054998E-1,-2.260872650E1,-1.939083481E1,-4.530451202E1
2.690494999E-1,-2.263590622E1,-1.930320740E1,-4.539143372E1
2.789944999E-1,-2.272192001E1,-1.922417831E1,-4.529964447E1
2.889385000E-1,-2.276763535E1,-1.915826416E1,-4.538238525E1
2.988824998E-1,-2.273095322E1,-1.894358253E1,-4.539126587E1
3.088274999E-1,-2.279979706E1,-1.901296234E1,-4.554216003E1
3.187714999E-1,-2.270841980E1,-1.877403069E1,-4.548099518E1
3.287155000E-1,-2.265820122E1,-1.875918961E1,-4.551347351E1
3.386605000E-1,-2.272341728E1,-1.850447845E1,-4.561897278E1
3.486044998E-1,-2.265087318E1,-1.839672470E1,-4.581590271E1
3.585484999E-1,-2.258840752E1,-1.812755394E1,-4.590668488E1
3.684924999E-1,-2.260816765E1,-1.797897720E1,-4.589593506E1
3.784375000E-1,-2.268561745E1,-1.778073311E1,-4.593042755E1
3.883814998E-1,-2.266109657E1,-1.752654648E1,-4.612876129E1
3.983254998E-1,-2.249746132E1,-1.733612442E1,-4.604991150E1
4.082704999E-1,-2.248698616E1,-1.712144089E1,-4.612673187E1
4.182145000E-1,-2.237641716E1,-1.692660904E1,-4.616020203E1
4.281585000E-1,-2.233744621E1,-1.671034241E1,-4.652001190E1
4.381034998E-1,-2.237875938E1,-1.658851814E1,-4.660877991E1
4.480474999E-1,-2.220167351E1,-1.638287926E1,-4.656710815E1
4.579914999E-1,-2.221904945E1,-1.621106720E1,-4.658103943E1
4.679355000E-1,-2.221904945E1,-1.621106720E1,-4.658103943E1
4.778805000E-1,-2.209323311E1,-1.605417442E1,-4.661363220E1
4.878244998E-1,-2.205874443E1,-1.584840202E1,-4.684395599E1
4.977684999E-1,-2.212525368E1,-1.578009987E1,-4.697260284E1
5.077134999E-1,-2.224590874E1,-1.567901993E1,-4.690158081E1
5.176575000E-1,-2.228559685E1,-1.563212013E1,-4.706923676E1
5.276014998E-1,-2.221486855E1,-1.552338791E1,-4.699225616E1
5.375464999E-1,-2.224110413E1,-1.526129627E1,-4.698212433E1
5.474893332E-1,-2.253503418E1,-1.509565067E1,-4.703558350E1
5.574333332E-1,-2.252999496E1,-1.490813828E1,-4.714201355E1
5.673773333E-1,-2.255282974E1,-1.461158371E1,-4.693982697E1
5.773223334E-1,-2.265263748E1,-1.430116844E1,-4.716226196E1
5.872663332E-1,-2.268392944E1,-1.358683968E1,-4.732566071E1
5.972103332E-1,-2.270715714E1,-1.303030396E1,-4.757002258E1
6.071553333E-1,-2.263186646E1,-1.229529381E1,-4.771006012E1
6.170993333E-1,-2.243638611E1,-1.145885086E1,-4.813233948E1
6.270433331E-1,-2.239907074E1,-1.067624283E1,-4.824142456E1
6.369873332E-1,-2.200676155E1,-9.726284027E0,-4.812367249E1
6.469323332E-1,-2.190248299E1,-8.969177246E0,-4.886269379E1
6.568763333E-1,-2.153303909E1,-8.153202057E0,-4.900946808E1
6.668203333E-1,-2.142331314E1,-7.430028439E0,-4.923569489E1
6.767653332E-1,-2.119231796E1,-6.926026821E0,-4.936775970E1
6.867093332E-1,-2.101889038E1,-6.521456242E0,-4.959435272E1
6.966533333E-1,-2.061448669E1,-6.018953323E0,-4.980509949E1
7.065983333E-1,-2.041479111E1,-5.419419289E0,-5.001550293E1
7.165423331E-1,-2.021610641E1,-4.754010201E0,-5.008388519E1
7.264863332E-1,-2.019944763E1,-4.078101158E0,-5.035124969E1
7.364303332E-1,-1.991675568E1,-3.558129072E0,-5.069279480E1
7.463753333E-1,-1.991675568E1,-3.558129072E0,-5.069279480E1
7.563193333E-1,-1.958591080E1,-2.849128246E0,-5.055772400E1
7.662633331E-1,-1.961406326E1,-2.169050217E0,-5.052063751E1
7.762083332E-1,-1.925340462E1,-1.581961632E0,-5.067874908E1
7.861523333E-1,-1.909431648E1,-8.725304604E-1,-5.055899811E1
7.960963333E-1,-1.871970367E1,-2.088198662E-1,-5.083525085E1
8.060413334E-1,-1.861461639E1,5.782570839E-1,-5.093073273E1
8.159853332E-1,-1.827268600E1,1.326015949E0,-5.090711975E1
8.259293332E-1,-1.808545876E1,2.165778637E0,-5.106465149E1
8.358733333E-1,-1.765568733E1,2.984158993E0,-5.131279755E1
8.458183333E-1,-1.708210182E1,3.488010883E0,-5.135195923E1
8.557623331E-1,-1.664578056E1,4.135831356E0,-5.150941467E1
8.657063332E-1,-1.592362404E1,4.426121235E0,-5.166196442E1
8.756513332E-1,-1.540929985E1,4.921178341E0,-5.189185333E1
8.855953333E-1,-1.483063316E1,5.219348431E0,-5.212014771E1
8.955393333E-1,-1.438908768E1,5.391842365E0,-5.228742981E1
9.054833332E-1,-1.386861610E1,5.641673088E0,-5.240697479E1
9.154283332E-1,-1.333612251E1,5.909281731E0,-5.223270416E1
9.253723333E-1,-1.291584396E1,5.985632896E0,-5.238333130E1
9.353163333E-1,-1.254725075E1,6.067697525E0,-5.256699371E1
9.452613331E-1,-1.219598007E1,6.089786530E0,-5.265140533E1
9.552053332E-1,-1.179237556E1,6.168601036E0,-5.260386658E1
9.651493332E-1,-1.153061485E1,5.985116482E0,-5.256213379E1
9.750943333E-1,-1.121554375E1,5.838900089E0,-5.269333649E1
9.850383333E-1,-1.084232521E1,5.713158131E0,-5.277372742E1
9.949823332E-1,-1.056055069E1,5.383894444E0,-5.297429657E1
1.004926333E0,-1.052121353E1,5.133144855E0,-5.324777985E1
1.014871333E0,-1.052121353E1,5.133144855E0,-5.324777985E1
1.024815333E0,-1.027630615E1,4.883408070E0,-5.317308044E1
1.034759333E0,-1.020141792E1,4.574886799E0,-5.306979370E1
1.044704333E0,-1.031531906E1,4.522402287E0,-5.295475006E1
1.054648333E0,-1.014449120E1,4.508807659E0,-5.315110016E1
1.064592333E0,-9.968534470E0,4.917812824E0,-5.319260406E1
1.074536333E0,-9.496164322E0,5.238115788E0,-5.321772003E1
1.084481333E0,-9.282123566E0,5.913009167E0,-5.302217865E1
1.094425333E0,-9.186798096E0,6.463658810E0,-5.325001526E1
1.104369333E0,-8.991714478E0,7.164694309E0,-5.302620697E1
1.114314333E0,-9.015052795E0,7.908360004E0,-5.285210419E1
1.124258333E0,-8.882047653E0,8.406648636E0,-5.261477661E1
1.134202333E0,-8.887901306E0,8.593765259E0,-5.283256531E1
1.144147333E0,-8.778486252E0,8.628650665E0,-5.285530090E1
1.154091333E0,-8.722764969E0,8.568655014E0,-5.277188873E1
1.164035333E0,-8.495573044E0,8.296719551E0,-5.303968811E1
1.173979333E0,-8.280981064E0,8.202982903E0,-5.318881989E1
1.183924333E0,-8.062191010E0,7.929952621E0,-5.317263031E1
1.193868333E0,-7.793327332E0,7.667543411E0,-5.308444214E1
1.203812333E0,-7.630157471E0,7.407821655E0,-5.311068726E1
1.213757333E0,-7.602024078E0,7.195225716E0,-5.325425720E1
1.223701333E0,-7.681529999E0,7.115386963E0,-5.329521942E1
1.233645333E0,-7.612661362E0,7.233567238E0,-5.321798706E1
1.243589333E0,-7.692560196E0,7.200942993E0,-5.307054138E1
1.253534333E0,-7.803468704E0,7.301635742E0,-5.305043030E1
1.263478333E0,-7.837621689E0,7.604416847E0,-5.300627899E1
1.273422333E0,-7.947069168E0,7.708504677E0,-5.309410095E1
1.283367333E0,-7.785453796E0,7.855453491E0,-5.320697021E1
1.293311333E0,-7.785453796E0,7.855453491E0,-5.320697021E1
1.303255333E0,-7.825813293E0,7.838788986E0,-5.333158112E1
1.313199333E0,-7.835826874E0,7.803939819E0,-5.341823578E1
1.323144333E0,-7.849079132E0,7.820743561E0,-5.321503448E1
1.333088333E0,-7.836137772E0,7.679546356E0,-5.313768005E1
1.343032333E0,-7.835205078E0,7.551344872E0,-5.313220215E1
1.352977333E0,-7.803262711E0,7.189789772E0,-5.326146698E1
1.362921333E0,-7.868827820E0,7.013144493E0,-5.310054779E1
1.372865333E0,-7.898334503E0,6.885702133E0,-5.335033417E1
1.382810333E0,-7.775806427E0,6.576553345E0,-5.324993134E1
1.392754333E0,-7.632843018E0,6.548407555E0,-5.327436829E1
1.402698333E0,-7.629564285E0,6.552764893E0,-5.328937531E1
1.412642333E0,-7.485019684E0,6.581579208E0,-5.324334717E1
1.422587333E0,-7.284412384E0,6.749413967E0,-5.317285919E1
1.432531333E0,-7.156681061E0,6.903165340E0,-5.333227539E1
1.442475333E0,-7.006637573E0,7.195600986E0,-5.319680023E1
1.452420333E0,-6.725900650E0,7.388362408E0,-5.328636932E1
1.462364333E0,-6.743654251E0,7.795887470E0,-5.333499908E1
1.472308333E0,-6.409677505E0,8.361272812E0,-5.335675812E1
1.482252333E0,-6.057760239E0,8.750815392E0,-5.346127319E1
1.492197333E0,-5.784307480E0,9.221676826E0,-5.333020782E1
1.502141333E0,-5.561363220E0,9.891674995E0,-5.314321899E1
1.512085333E0,-5.311738968E0,1.028663349E1,-5.332241821E1
1.522030333E0,-5.120353699E0,1.058882523E1,-5.315703583E1
1.531974333E0,-4.847997665E0,1.089692688E1,-5.320863342E1
1.541918833E0,-4.690151215E0,1.101567078E1,-5.311343384E1
1.551862833E0,-4.580253601E0,1.124083519E1,-5.308599091E1
1.561807833E0,-4.580253601E0,1.124083519E1,-5.308599091E1
1.571751833E0,-4.352783203E0,1.133658600E1,-5.316000366E1
1.581695833E0,-4.406599045E0,1.138985920E1,-5.315193939E1
1.591640833E0,-4.137027740E0,1.151321507E1,-5.291976929E1
1.601584833E0,-4.075227737E0,1.142166615E1,-5.298521423E1
1.611528833E0,-4.011049271E0,1.154703617E1,-5.293775177E1
1.621472833E0,-3.823987961E0,1.148339367E1,-5.290908813E1
1.631417833E0,-3.866100311E0,1.157809734E1,-5.294016266E1
1.641361833E0,-3.710929871E0,1.165091991E1,-5.299018860E1
1.651305833E0,-3.661352158E0,1.151911640E1,-5.322122192E1
1.661250833E0,-3.532121658E0,1.152400112E1,-5.319020844E1
1.671194833E0,-3.492336273E0,1.175537300E1,-5.310883331E1
1.681138833E0,-3.459522247E0,1.172186852E1,-5.309526825E1
1.691082833E0,-3.339897156E0,1.181516075E1,-5.326175690E1
1.701027833E0,-3.275876999E0,1.186754036E1,-5.319326782E1
1.710971833E0,-3.135942459E0,1.194411278E1,-5.308199310E1
1.720915833E0,-3.048248291E0,1.201947021E1,-5.286620331E1
1.730860833E0,-3.033966064E0,1.197708130E1,-5.303202057E1
1.740804833E0,-2.686321259E0,1.177404022E1,-5.293499756E1
1.750748833E0,-2.443700790E0,1.142749214E1,-5.314295959E1
1.760692833E0,-2.462882996E0,1.123631668E1,-5.315087128E1
1.770637833E0,-2.195770264E0,1.095869637E1,-5.303738403E1
1.780581833E0,-2.012857437E0,1.059392357E1,-5.314776611E1
1.790525833E0,-1.595527649E0,1.017436028E1,-5.310721588E1
1.800470833E0,-1.441919327E0,9.752204895E0,-5.312924957E1
1.810414833E0,-1.120197296E0,9.147769928E0,-5.328677368E1
1.820358833E0,-8.592548370E-1,8.748569489E0,-5.348715210E1
1.830303833E0,-3.379993439E-1,8.327351570E0,-5.360018158E1
1.840247833E0,-3.379993439E-1,8.327351570E0,-5.360018158E1
1.850191833E0,1.853485107E-1,7.868134022E0,-5.369579315E1
1.860135833E0,8.567857742E-1,7.824955463E0,-5.369915771E1
1.870080833E0,1.207606316E0,7.836266041E0,-5.379608154E1
1.880024833E0,1.647627831E0,7.931355000E0,-5.370288086E1
1.889968833E0,2.098309517E0,8.431324005E0,-5.355871582E1
1.899913833E0,2.531826973E0,8.792409897E0,-5.338242340E1
1.909857833E0,2.636837959E0,9.124435425E0,-5.339200592E1
1.919801833E0,2.554803848E0,9.707643509E0,-5.333457947E1
1.929745833E0,2.531826973E0,9.790351868E0,-5.341545868E1
1.939690833E0,2.260655403E0,9.984468460E0,-5.320773315E1
1.949634833E0,2.079440117E0,1.005687523E1,-5.340547180E1
1.959578833E0,1.807579041E0,1.016887283E1,-5.349456024E1
1.969523833E0,1.745116234E0,9.969242096E0,-5.343893433E1
1.979467833E0,1.727526665E0,9.695377350E0,-5.341359711E1
1.989411833E0,1.591917038E0,9.615947723E0,-5.315118408E1
1.999355833E0,1.769654274E0,9.460393906E0,-5.322829437E1
2.009300833E0,1.946854591E0,9.429811478E0,-5.327792358E1
2.019244833E0,2.157577515E0,9.549325943E0,-5.331256104E1
2.029188833E0,2.320129395E0,9.585678101E0,-5.344772339E1
2.039133833E0,2.435873985E0,9.554809570E0,-5.334456635E1
2.049077833E0,2.602390289E0,9.793859482E0,-5.322793579E1
2.059021833E0,2.665762901E0,1.001735115E1,-5.323252106E1
2.068965833E0,2.693405151E0,1.013468742E1,-5.318415833E1
2.078910833E0,2.744740486E0,1.034688568E1,-5.313005829E1
2.088854833E0,2.793255806E0,1.051551247E1,-5.328210449E1
2.098798833E0,2.887449265E0,1.070457268E1,-5.310405731E1
2.108742833E0,2.887449265E0,1.070457268E1,-5.310405731E1
2.118687833E0,2.993944168E0,1.088768387E1,-5.321709442E1
2.128631833E0,3.138185501E0,1.100959015E1,-5.307154846E1
2.138575833E0,3.358925819E0,1.102768326E1,-5.283934021E1
2.148520833E0,3.393544197E0,1.110692024E1,-5.302664948E1
2.158464833E0,3.518767357E0,1.129770851E1,-5.284687805E1
2.168408833E0,3.600472450E0,1.142708969E1,-5.296783447E1
2.178352833E0,3.604459763E0,1.145572472E1,-5.273774719E1
2.188297833E0,3.689615250E0,1.165928268E1,-5.275178528E1
2.198241833E0,3.655079842E0,1.185274887E1,-5.263101196E1
2.208185833E0,3.696915627E0,1.196497917E1,-5.256549072E1
2.218130833E0,3.646186829E0,1.204372787E1,-5.273429871E1
2.228074833E0,3.658045769E0,1.189018631E1,-5.268869019E1
2.238018833E0,3.743247032E0,1.188301086E1,-5.266835022E1
2.247962833E0,3.641448975E0,1.180478668E1,-5.277849579E1
2.257907833E0,3.614408493E0,1.163764572E1,-5.260165405E1
