"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.657063332E-1,3.513495997E-2,9.052906632E-1,2.687710285E0
8.756513332E-1,1.481129080E-1,8.627423644E-1,2.613613129E0
8.855953333E-1,2.259521931E-1,7.750620246E-1,2.533504963E0
8.955393333E-1,2.638742924E-1,6.713917851E-1,2.467410088E0
9.054833332E-1,2.925688326E-1,5.644221902E-1,2.400791168E0
9.154283332E-1,3.312491179E-1,4.850227237E-1,2.328756332E0
9.253723333E-1,3.820708692E-1,4.272095859E-1,2.263394117E0
9.353163333E-1,4.451537132E-1,3.937970400E-1,2.188294172E0
9.452613331E-1,5.165941715E-1,3.872493505E-1,2.094238520E0
9.552053332E-1,5.865687132E-1,3.824998736E-1,1.977828026E0
9.651493332E-1,6.532046199E-1,3.708535433E-1,1.834797144E0
9.750943333E-1,6.957480907E-1,3.614842892E-1,1.677934051E0
9.850383333E-1,7.072983384E-1,3.330329359E-1,1.500334620E0
9.949823332E-1,7.024793029E-1,2.520017028E-1,1.320460439E0
1.004926333E0,6.867560148E-1,1.368182153E-1,1.162801266E0
1.014871333E0,6.521255970E-1,4.137185588E-2,1.043224454E0
1.024815333E0,5.445526838E-1,1.775719412E-2,9.731024504E-1
1.034759333E0,3.495845497E-1,5.092633516E-2,9.452519417E-1
1.044704333E0,6.270737946E-2,1.470474750E-1,9.601184130E-1
1.054648333E0,-2.894037962E-1,2.845222354E-1,1.003640056E0
1.064592333E0,-6.690647006E-1,3.865220845E-1,1.073157907E0
1.074536333E0,-9.991233349E-1,3.917535841E-1,1.158832073E0
1.084481333E0,-1.198302984E0,3.119758368E-1,1.246399760E0
1.094425333E0,-1.211094737E0,1.743492335E-1,1.303411126E0
1.104369333E0,-1.030629158E0,1.290152501E-2,1.296906233E0
1.114314333E0,-7.160924673E-1,-1.298007667E-1,1.203050494E0
1.124258333E0,-3.378465772E-1,-2.041248232E-1,1.042582035E0
1.134202333E0,1.440469082E-2,-1.469211876E-1,8.765572906E-1
1.144147333E0,2.936916053E-1,3.014722094E-2,7.673159838E-1
1.154091333E0,4.792017937E-1,2.134624571E-1,7.206190228E-1
1.164035333E0,5.743120313E-1,3.284934759E-1,6.979027987E-1
1.173979333E0,5.967451930E-1,3.492509723E-1,6.446903944E-1
1.183924333E0,5.753369331E-1,3.136763275E-1,5.537531972E-1
1.193868333E0,5.259475708E-1,2.321931869E-1,4.292456508E-1
1.203812333E0,4.416475296E-1,1.414214224E-1,2.996647358E-1
1.213757333E0,3.250772655E-1,5.671372265E-2,1.913859397E-1
1.223701333E0,1.661314964E-1,-2.252802253E-2,1.018396094E-1
1.233645333E0,-3.007050417E-2,-9.179896861E-2,2.743222192E-2
1.243589333E0,-2.138087153E-1,-1.447886974E-1,-1.882132888E-2
1.253534333E0,-3.192365766E-1,-1.582429856E-1,-3.880249336E-2
1.263478333E0,-3.407876492E-1,-1.199497879E-1,-3.522092476E-2
1.273422333E0,-2.908903956E-1,-8.614867926E-2,-9.013022296E-3
1.283367333E0,-1.878488660E-1,-6.785167754E-2,3.897608072E-2
1.293311333E0,-4.682544246E-2,-5.737107620E-2,1.104457378E-1
1.303255333E0,9.640197456E-2,-3.165990859E-2,1.969545037E-1
1.313199333E0,2.342253476E-1,-1.987861842E-2,2.832590342E-1
1.323144333E0,3.399396837E-1,-9.122531861E-3,3.686113358E-1
1.333088333E0,4.115286469E-1,-1.434658933E-2,4.367568195E-1
1.343032333E0,4.507828355E-1,-4.114624485E-2,4.791785777E-1
1.352977333E0,4.561296701E-1,-3.451523930E-2,5.125194788E-1
1.362921333E0,4.231336713E-1,-1.873062551E-2,5.421916842E-1
1.372865333E0,3.513572216E-1,3.345912788E-3,5.602234006E-1
1.382810333E0,2.527951002E-1,4.602784663E-2,5.730888247E-1
1.392754333E0,1.324508637E-1,1.098201349E-1,5.753226876E-1
1.402698333E0,-1.113509410E-3,1.775836647E-1,5.707707405E-1
1.412642333E0,-1.401688755E-1,2.256185710E-1,5.558232069E-1
1.422587333E0,-2.796919942E-1,2.427797019E-1,5.422991514E-1
1.432531333E0,-4.163798094E-1,2.316543460E-1,5.495421290E-1
1.442475333E0,-5.290341973E-1,2.301964313E-1,5.748268366E-1
1.452420333E0,-6.262017488E-1,2.624449134E-1,6.136259437E-1
1.462364333E0,-7.186291218E-1,3.241204023E-1,6.627470851E-1
1.472308333E0,-7.989948392E-1,3.937221169E-1,7.220814824E-1
1.482252333E0,-8.413642049E-1,4.303722680E-1,7.945367098E-1
1.492197333E0,-8.257687092E-1,4.248659313E-1,8.614489436E-1
1.502141333E0,-7.545248866E-1,3.692634106E-1,9.036214948E-1
1.512085333E0,-6.398973465E-1,2.764993906E-1,8.966903687E-1
1.522030333E0,-4.972775578E-1,1.905056685E-1,8.403669000E-1
1.531974333E0,-3.573215008E-1,1.205686554E-1,7.611032128E-1
1.541918833E0,-2.459642738E-1,6.872851402E-2,6.859744787E-1
1.551862833E0,-1.636153460E-1,5.843113363E-2,6.310153604E-1
1.561807833E0,-1.200656593E-1,9.873679280E-2,6.045028567E-1
1.571751833E0,-8.550395817E-2,1.394354850E-1,5.853717923E-1
1.581695833E0,-4.942841828E-2,1.484316289E-1,5.488520861E-1
1.591640833E0,-1.663478464E-2,1.256075352E-1,5.072367191E-1
1.601584833E0,1.134762540E-2,9.930127859E-2,4.670253694E-1
1.611528833E0,2.624561638E-2,8.504111320E-2,4.422683418E-1
1.621472833E0,1.094275992E-2,7.695468515E-2,4.199542105E-1
1.631417833E0,-1.694266871E-2,7.420124114E-2,3.892365396E-1
1.641361833E0,-5.580444261E-2,7.524029911E-2,3.532499075E-1
1.651305833E0,-8.632320166E-2,7.201867551E-2,3.037300408E-1
1.661250833E0,-1.100205109E-1,7.515281439E-2,2.588178515E-1
1.671194833E0,-1.243453845E-1,8.718097955E-2,2.156341523E-1
1.681138833E0,-1.308829933E-1,1.026573107E-1,1.786805242E-1
1.691082833E0,-1.193086356E-1,1.204120740E-1,1.380569339E-1
1.701027833E0,-9.269254655E-2,1.468653679E-1,1.007658914E-1
1.710971833E0,-3.575389460E-2,1.837259233E-1,6.962581724E-2
1.720915833E0,3.532053530E-2,2.161069810E-1,3.847397491E-2
1.730860833E0,1.298220158E-1,2.356593758E-1,1.452656463E-2
1.740804833E0,2.336715758E-1,2.667407393E-1,-1.139854779E-3
1.750748833E0,3.580608964E-1,3.062348962E-1,1.072079968E-2
1.760692833E0,4.948492050E-1,3.405587673E-1,6.001959741E-2
1.770637833E0,6.457002163E-1,3.625823259E-1,1.411306858E-1
1.780581833E0,7.990256548E-1,3.833064735E-1,2.425263226E-1
1.790525833E0,9.372229576E-1,4.035763443E-1,3.547959030E-1
1.800470833E0,1.037296534E0,4.281741381E-1,4.764155149E-1
1.810414833E0,1.047846317E0,4.917334020E-1,5.964027047E-1
1.820358833E0,9.401288629E-1,5.878209472E-1,7.208635807E-1
1.830303833E0,7.403911948E-1,7.268137336E-1,8.277232051E-1
1.840247833E0,4.586938322E-1,8.606752157E-1,9.031751156E-1
1.850191833E0,1.329689920E-1,8.959552050E-1,9.486975670E-1
1.860135833E0,-1.900061816E-1,8.270831704E-1,9.731912017E-1
1.870080833E0,-4.670287371E-1,6.749381423E-1,9.979125261E-1
1.880024833E0,-6.598592401E-1,5.130703449E-1,1.046155095E0
1.889968833E0,-7.751170993E-1,3.451907933E-1,1.099168062E0
1.899913833E0,-8.106284738E-1,1.378743351E-1,1.128120780E0
1.909857833E0,-7.677608728E-1,-1.374640316E-1,1.158271432E0
1.919801833E0,-6.401262879E-1,-4.427353144E-1,1.162256360E0
1.929745833E0,-4.491690993E-1,-6.753701568E-1,1.130217791E0
1.939690833E0,-2.184810191E-1,-7.296641469E-1,1.061992168E0
1.949634833E0,3.088382538E-3,-6.316550374E-1,9.839344025E-1
1.959578833E0,1.666799039E-1,-4.769218266E-1,9.004491568E-1
1.969523833E0,2.487491965E-1,-2.907730043E-1,8.142037392E-1
1.979467833E0,2.576907277E-1,-8.152665943E-2,7.387531400E-1
1.989411833E0,2.099301368E-1,8.636274189E-2,6.808826923E-1
1.999355833E0,1.402875036E-1,1.800271124E-1,6.241766810E-1
2.009300833E0,2.860836871E-2,2.168285400E-1,5.568228960E-1
2.019244833E0,-1.005425528E-1,2.216548622E-1,4.803448021E-1
2.029188833E0,-2.124994546E-1,1.883118302E-1,4.134816229E-1
2.039133833E0,-2.969820797E-1,1.550568044E-1,3.573117256E-1
2.049077833E0,-3.576954901E-1,1.463077813E-1,3.052519858E-1
2.059021833E0,-3.836289644E-1,1.340472400E-1,2.651709914E-1
2.068965833E0,-3.856348693E-1,9.844050556E-2,2.413865626E-1
2.078910833E0,-3.618493974E-1,6.463593245E-2,2.287560254E-1
2.088854833E0,-3.247981966E-1,6.178314984E-2,2.209830582E-1
2.098798833E0,-2.950516641E-1,8.827935159E-2,2.145162225E-1
2.108742833E0,-2.758271098E-1,1.288206577E-1,2.045219094E-1
2.118687833E0,-2.590422928E-1,1.546585113E-1,2.048093677E-1
2.128631833E0,-2.590588033E-1,1.717192531E-1,2.063449472E-1
2.138575833E0,-2.611880302E-1,1.717649251E-1,1.946567148E-1
2.148520833E0,-2.648890316E-1,1.458904445E-1,1.645907015E-1
2.158464833E0,-2.635540068E-1,1.060684919E-1,1.283731163E-1
2.168408833E0,-2.547653019E-1,5.972336978E-2,8.012010902E-2
2.178352833E0,-2.328289002E-1,1.344996504E-2,3.453511000E-2
2.188297833E0,-1.846126318E-1,-3.767371643E-3,-1.278281678E-3
2.198241833E0,-1.293965876E-1,1.116549782E-2,-2.578100376E-2
2.208185833E0,-7.032447308E-2,2.937885746E-2,-4.409928992E-2
2.218130833E0,-1.106525306E-2,4.700203985E-2,-6.054538116E-2
2.228074833E0,6.189390644E-2,4.544941708E-2,-7.975982130E-2
2.238018833E0,1.528405696E-1,-1.924618706E-2,-1.126026437E-1
2.247962833E0,2.651963830E-1,-1.108762398E-1,-1.747813225E-1
2.257907833E0,3.696074486E-1,-1.994417459E-1,-2.265243977E-1
2.267851833E0,4.512373209E-1,-2.624904811E-1,-2.470301986E-1
2.277795833E0,4.963302612E-1,-3.087726533E-1,-2.409356833E-1
2.287740833E0,5.074923635E-1,-3.338955641E-1,-2.222810388E-1
2.297684833E0,4.683372676E-1,-3.336705565E-1,-2.161100358E-1
2.307628833E0,3.772701919E-1,-3.056956530E-1,-2.362925410E-1
2.317572833E0,2.293370962E-1,-2.517538965E-1,-2.785031796E-1
2.327517833E0,3.705340251E-2,-1.939747781E-1,-3.240986168E-1
2.337461833E0,-1.524678022E-1,-1.550958753E-1,-3.497284055E-1
2.347405833E0,-3.131863773E-1,-1.485871077E-1,-3.731642365E-1
2.357350833E0,-4.245213866E-1,-2.158458531E-1,-4.096157551E-1
2.367294833E0,-4.472554624E-1,-3.178992569E-1,-4.567606449E-1
2.377238833E0,-3.809620440E-1,-4.053283036E-1,-5.103459954E-1
2.387182833E0,-2.329222560E-1,-4.615931809E-1,-5.651924610E-1
2.397127833E0,-2.626127191E-2,-4.869219065E-1,-6.027605534E-1
2.407071833E0,1.942031980E-1,-4.710574448E-1,-5.924759507E-1
2.417015833E0,4.036737084E-1,-4.218863845E-1,-5.140526891E-1
2.426960833E0,5.262827277E-1,-3.050487041E-1,-4.086285532E-1
2.436904833E0,5.242670178E-1,-1.592733860E-1,-2.999662161E-1
2.446848833E0,4.577401876E-1,-1.069334820E-1,-2.033656538E-1
2.456792833E0,3.868118525E-1,-1.646173596E-1,-1.252053976E-1
2.466737833E0,3.811518252E-1,-2.609550655E-1,-7.432117313E-2
2.476681833E0,4.379296005E-1,-3.516851664E-1,-6.519978493E-2
2.486625833E0,5.312195420E-1,-4.404847920E-1,-7.723381370E-2
2.496570833E0,6.338132024E-1,-5.177986026E-1,-9.739985317E-2
2.506514833E0,7.179642916E-1,-5.205506682E-1,-1.257044673E-1
2.516458833E0,7.687185407E-1,-4.527567029E-1,-1.351395547E-1
2.526402833E0,7.777352333E-1,-3.573207259E-1,-1.291945875E-1
2.536347833E0,7.308784723E-1,-2.205179781E-1,-1.149973348E-1
2.546291333E0,6.204630136E-1,-2.383953147E-2,-9.814830869E-2
2.556235333E0,4.476834536E-1,2.165151238E-1,-8.622998744E-2
2.566180333E0,1.960837245E-1,4.404012263E-1,-8.485366404E-2
2.576124333E0,-1.025289297E-1,5.400733948E-1,-1.043092236E-1
2.586068333E0,-4.111533463E-1,4.823267162E-1,-1.362748742E-1
2.596012333E0,-6.771459579E-1,2.671149075E-1,-1.754216999E-1
2.605957333E0,-8.785735965E-1,-6.059985608E-2,-2.354144603E-1
2.615901333E0,-9.975250959E-1,-3.750052154E-1,-3.267875314E-1
2.625845333E0,-1.014540195E0,-5.573188663E-1,-4.120073617E-1
2.635790333E0,-9.338241816E-1,-5.713672638E-1,-4.635525346E-1
2.645734333E0,-7.864304781E-1,-4.606591165E-1,-4.724642634E-1
2.655678333E0,-6.187087297E-1,-2.990363538E-1,-4.600978494E-1
2.665622333E0,-4.727637470E-1,-1.238560081E-1,-4.519488513E-1
2.675567333E0,-3.640163243E-1,4.973423108E-2,-4.442556798E-1
2.685511333E0,-2.962276638E-1,2.102749050E-1,-4.240486622E-1
2.695455333E0,-2.484808415E-1,3.326902390E-1,-3.897866607E-1
2.705399333E0,-1.991918683E-1,3.631708920E-1,-3.579522967E-1
2.715344333E0,-1.374468505E-1,3.425014615E-1,-3.535211682E-1
2.725288333E0,-7.696807384E-2,3.381674290E-1,-3.647051156E-1
2.735232333E0,-3.301332146E-2,3.496173322E-1,-3.724619746E-1
2.745177333E0,-1.993587054E-2,3.782734871E-1,-3.609834909E-1
2.755121333E0,-3.856692091E-2,4.386510253E-1,-3.266415000E-1
2.765065333E0,-8.195406944E-2,5.001825690E-1,-2.741098404E-1
2.775009333E0,-1.361246705E-1,5.258712769E-1,-2.102908194E-1
2.784954333E0,-1.802601665E-1,5.216616392E-1,-1.325062811E-1
2.794898333E0,-2.134572715E-1,4.828838706E-1,-3.663434088E-2
2.804842333E0,-2.300996333E-1,4.056109190E-1,7.282263786E-2
2.814787333E0,-2.402361184E-1,3.414089084E-1,1.743949652E-1
2.824731333E0,-2.394781858E-1,3.114057481E-1,2.754504681E-1
2.834675333E0,-2.275406122E-1,2.847028375E-1,3.699578643E-1
2.844619333E0,-2.241397649E-1,2.552770376E-1,4.528428912E-1
