"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773922233214363E9,"2026-03-19 20:10:33.214 UTC+08:00"
"PAUSE",8.252807541663060E0,1.773922241466876E9,"2026-03-19 20:10:41.467 UTC+08:00"
