"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.350828750E-1,-2.139318883E-1,4.868699908E-1,9.354175925E-1
7.450318750E-1,-1.660850048E-1,2.712841928E-1,8.100072145E-1
7.549808750E-1,-7.296132296E-2,2.497324049E-1,6.269336939E-1
7.649308750E-1,-3.649492562E-2,3.172475398E-1,3.971169889E-1
7.748798750E-1,-1.069467217E-1,5.017169714E-1,1.536039561E-1
7.848288750E-1,-2.334079891E-1,7.414931059E-1,-2.281555161E-2
7.947778750E-1,-3.447362483E-1,8.979573846E-1,-9.537008405E-2
8.047278750E-1,-3.980833590E-1,8.776255250E-1,-9.475755692E-2
8.146768750E-1,-3.750126660E-1,6.210289001E-1,-8.948920667E-2
8.246258750E-1,-3.099540472E-1,2.504047155E-1,-1.406416148E-1
8.345748750E-1,-2.436838150E-1,-1.349272132E-1,-1.584881246E-1
8.445238750E-1,-2.220248580E-1,-4.053158164E-1,-1.317646354E-1
8.544728750E-1,-2.564381361E-1,-5.195293427E-1,-1.120133772E-1
8.644231250E-1,-3.139754832E-1,-5.836604238E-1,-5.328349397E-2
8.743721250E-1,-3.801935315E-1,-6.639204025E-1,4.027457908E-2
8.843211250E-1,-4.218751788E-1,-6.974620819E-1,1.466494799E-1
8.942701250E-1,-4.492374361E-1,-7.206537724E-1,2.597717047E-1
9.042191250E-1,-4.378308654E-1,-7.621778250E-1,3.900167942E-1
9.141691250E-1,-4.076799750E-1,-7.907087803E-1,5.183630586E-1
9.241181250E-1,-3.726871014E-1,-7.878652811E-1,5.963758826E-1
9.340671250E-1,-3.626896739E-1,-7.803741693E-1,5.567997098E-1
9.440161250E-1,-4.053777456E-1,-7.559503317E-1,4.387803972E-1
9.539651250E-1,-4.776481390E-1,-8.136349916E-1,3.444155455E-1
9.639151250E-1,-5.277174711E-1,-8.960321546E-1,2.860795259E-1
9.738641250E-1,-5.329386592E-1,-9.769045115E-1,2.245962769E-1
9.838131250E-1,-4.823439121E-1,-1.072130680E0,1.653135121E-1
9.937621250E-1,-5.016900897E-1,-7.661609054E-1,1.650400907E-1
1.003711125E0,-4.409572184E-1,-4.914034009E-1,1.397445947E-1
1.013661125E0,-2.160765231E-1,-4.246732295E-1,2.026408911E-1
1.023610125E0,-9.778264165E-2,-2.374610007E-1,2.381472141E-1
1.033559125E0,-2.454519505E-3,-1.319332421E-1,2.895046771E-1
1.043508125E0,2.232193388E-2,-5.763637647E-2,3.401577473E-1
1.053457125E0,-2.838686481E-2,-1.364802755E-2,3.666006029E-1
1.063407125E0,-1.341615021E-1,2.701684460E-2,3.768516481E-1
1.073356125E0,-2.642634809E-1,1.975615323E-2,3.746850789E-1
1.083305125E0,-3.778172135E-1,-3.027399071E-2,3.650353849E-1
1.093254125E0,-4.442210197E-1,-4.439034313E-2,3.432334065E-1
1.103203125E0,-4.497987330E-1,-1.045234874E-2,2.871491015E-1
1.113153125E0,-4.089540541E-1,6.010898575E-2,1.984596848E-1
1.123102125E0,-3.391704559E-1,1.880839914E-1,1.102757677E-1
1.133051125E0,-2.731842101E-1,2.864550352E-1,4.458960518E-2
1.143000125E0,-2.323678136E-1,3.289159238E-1,-2.123570768E-3
1.152949125E0,-2.152998000E-1,3.177989721E-1,-9.584943764E-3
1.162899125E0,-2.056242675E-1,2.510004938E-1,1.636285451E-3
1.172848125E0,-1.833691746E-1,1.534074247E-1,1.718686894E-2
1.182797125E0,-1.271583587E-1,6.397767365E-2,9.722827934E-3
1.192746125E0,-4.475143924E-2,-9.916855022E-3,-2.836033143E-2
1.202695125E0,3.722651675E-2,-8.079315722E-2,-1.051895991E-1
1.212645125E0,8.392272890E-2,-1.210187227E-1,-2.004725188E-1
1.222594125E0,1.061135232E-1,-1.364818364E-1,-2.574236989E-1
1.232543125E0,1.314938217E-1,-1.309951544E-1,-2.535966039E-1
1.242492125E0,1.746122688E-1,-9.202377498E-2,-2.288598269E-1
1.252441125E0,2.344586551E-1,-6.955924630E-2,-2.181661874E-1
1.262391125E0,2.868272960E-1,-5.959396437E-2,-2.138827592E-1
1.272340125E0,3.084420562E-1,-6.576006114E-2,-2.127823979E-1
1.282289125E0,2.919536233E-1,-6.362128258E-2,-2.055575103E-1
1.292238125E0,2.547358871E-1,-5.399260297E-2,-2.052013576E-1
1.302187125E0,2.293176204E-1,-6.003585085E-2,-2.200354338E-1
1.312137125E0,2.404253781E-1,-7.983440906E-2,-2.688210309E-1
1.322086125E0,2.718275189E-1,-9.188361466E-2,-3.527564108E-1
1.332035125E0,3.107135296E-1,-8.391814679E-2,-4.581386149E-1
1.341984125E0,3.486526608E-1,-6.340008974E-2,-5.523268580E-1
1.351933125E0,3.652741909E-1,-5.622072145E-2,-6.178872585E-1
1.361883125E0,3.744147122E-1,-8.788650483E-2,-6.549573541E-1
1.371832125E0,3.869763315E-1,-8.676336706E-2,-6.773402095E-1
1.381781125E0,3.908767998E-1,-6.695397198E-2,-6.720831394E-1
1.391730125E0,4.102966785E-1,-3.620977700E-2,-6.433986425E-1
1.401679125E0,4.435052574E-1,4.843639582E-2,-6.075607538E-1
1.411629125E0,4.931575060E-1,1.234538183E-1,-5.622231364E-1
1.421578125E0,5.312247872E-1,1.618510038E-1,-5.315153003E-1
1.431527125E0,5.571820736E-1,1.798776835E-1,-5.072086453E-1
1.441476125E0,5.454964042E-1,1.934621930E-1,-4.809263945E-1
1.451425125E0,5.003660917E-1,1.672067344E-1,-4.542358816E-1
1.461375125E0,4.222766161E-1,7.647071034E-2,-4.348134398E-1
1.471324125E0,3.323919475E-1,-3.725317121E-2,-4.315893948E-1
1.481273125E0,2.397094220E-1,-1.536993533E-1,-4.580170214E-1
1.491222125E0,1.646698862E-1,-2.658131421E-1,-4.897552431E-1
