"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.790874999E-3,-6.703044891E0,-2.853150177E1,-3.665019226E1
1.873987500E-2,-6.843738556E0,-2.835208130E1,-3.668148804E1
2.868987501E-2,-7.033771515E0,-2.815187073E1,-3.676814270E1
3.863887500E-2,-7.288860321E0,-2.763467789E1,-3.710821533E1
4.858787500E-2,-7.512432098E0,-2.706796646E1,-3.744108582E1
5.853687500E-2,-7.604553223E0,-2.665919876E1,-3.772084045E1
6.848587500E-2,-7.786815643E0,-2.623901176E1,-3.814775085E1
7.843587501E-2,-7.953994751E0,-2.581533623E1,-3.839236450E1
8.838487501E-2,-8.152412415E0,-2.565786362E1,-3.836384583E1
9.833387501E-2,-8.408660889E0,-2.516171646E1,-3.863398743E1
1.082828750E-1,-8.743324280E0,-2.488554382E1,-3.882789612E1
1.182318750E-1,-9.003665924E0,-2.449878311E1,-3.902667236E1
1.281818750E-1,-9.481536865E0,-2.407354164E1,-3.917336273E1
1.381308750E-1,-9.742294312E0,-2.373633957E1,-3.932946014E1
1.480798750E-1,-1.001760483E1,-2.329820633E1,-3.957781219E1
1.580288750E-1,-1.001760483E1,-2.329820633E1,-3.957781219E1
1.679778750E-1,-1.025813675E1,-2.297574234E1,-3.960546112E1
1.779278750E-1,-1.035050201E1,-2.255328751E1,-3.971096039E1
1.878768750E-1,-1.050609207E1,-2.204990005E1,-4.009430695E1
1.978258750E-1,-1.062768173E1,-2.161136627E1,-4.049010468E1
2.077748750E-1,-1.079754257E1,-2.109200478E1,-4.060084534E1
2.177248750E-1,-1.097138977E1,-2.069949532E1,-4.069149780E1
2.276738750E-1,-1.119736862E1,-2.025662613E1,-4.092573547E1
2.376228750E-1,-1.118157959E1,-1.985360909E1,-4.106533813E1
2.475718750E-1,-1.168407059E1,-1.930395889E1,-4.091772461E1
2.575208750E-1,-1.207462311E1,-1.892834473E1,-4.113642883E1
2.674708750E-1,-1.240220261E1,-1.852897835E1,-4.123538208E1
2.774198750E-1,-1.275316620E1,-1.832244492E1,-4.115558624E1
