"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.573875012E-3,-3.256478119E0,5.699847107E0,4.954247589E0
1.252287501E-2,-3.439098358E0,5.639372864E0,5.389692078E0
2.247187501E-2,-3.331771545E0,5.577401733E0,6.061045990E0
3.242087501E-2,-3.082390137E0,5.410049744E0,6.846163330E0
4.236987501E-2,-2.908601532E0,5.277874603E0,7.595954132E0
5.231987502E-2,-2.746937714E0,5.280119934E0,8.103398895E0
6.226887502E-2,-2.632725220E0,5.343288574E0,8.461154938E0
7.221787501E-2,-2.470462646E0,5.310057678E0,8.527317352E0
8.216687501E-2,-2.407294006E0,5.351521454E0,8.295748901E0
9.211587501E-2,-2.455044708E0,5.409450989E0,7.871082001E0
1.020658750E-1,-2.506238251E0,5.461243286E0,7.523654480E0
1.120148750E-1,-2.472857666E0,5.373525696E0,7.409741364E0
1.219638750E-1,-2.413730621E0,5.115162964E0,7.617509308E0
1.319128750E-1,-2.415826263E0,4.814438324E0,8.073461151E0
1.418618750E-1,-2.511177979E0,4.570595398E0,8.675509186E0
1.518118750E-1,-2.595303040E0,4.346361694E0,9.124575348E0
1.617608750E-1,-2.510728912E0,4.172573090E0,9.363628235E0
1.717098750E-1,-2.241139526E0,4.024081879E0,9.358239441E0
1.816588750E-1,-2.013313293E0,3.919150085E0,9.159602509E0
1.916088750E-1,-1.751208344E0,3.886368256E0,8.928333435E0
2.015578750E-1,-1.618135071E0,3.845203857E0,8.750952301E0
2.115068750E-1,-1.551972656E0,3.757486267E0,8.599617004E0
2.214558750E-1,-1.590292969E0,3.748954010E0,8.330925751E0
2.314048750E-1,-1.919757843E0,3.712280273E0,8.439450073E0
2.413548750E-1,-1.980381775E0,3.563040619E0,8.667276306E0
2.513038750E-1,-2.108365631E0,3.232527924E0,8.952283630E0
2.612528750E-1,-2.169438629E0,2.864143982E0,9.193731537E0
2.712018750E-1,-2.161804504E0,2.645149384E0,9.587861938E0
2.811508750E-1,-1.983225861E0,2.622097321E0,9.810748444E0
2.911008750E-1,-1.761985931E0,2.752326508E0,9.715097351E0
3.010498750E-1,-1.642534332E0,2.799029388E0,9.641300812E0
3.109988750E-1,-1.551822968E0,2.735711060E0,9.655820618E0
3.209478750E-1,-1.549727325E0,2.729873199E0,9.875713348E0
3.308968750E-1,-1.583407288E0,2.891836395E0,1.004800507E1
3.408468750E-1,-1.291663971E0,3.221600647E0,9.884844360E0
3.507958750E-1,-8.202941895E-1,3.474424896E0,9.455387421E0
3.607448750E-1,-4.643344116E-1,3.334915009E0,9.041647797E0
3.706938750E-1,-8.000862122E-1,2.993175659E0,9.488768005E0
3.806428750E-1,-1.797611847E0,2.663561096E0,1.077234879E1
3.905928750E-1,-2.025438080E0,2.080972595E0,1.108130630E1
4.005418750E-1,-1.884281616E0,1.897753601E0,1.097293167E1
4.104908750E-1,-1.346150665E0,1.711840210E0,1.073672287E1
4.204398750E-1,-2.930905151E-1,1.553619232E0,1.002809647E1
4.303888750E-1,6.580316162E-1,1.642234955E0,9.559421082E0
4.403388750E-1,1.271156616E0,1.961820374E0,9.921218719E0
4.502878750E-1,1.392254791E0,2.056573334E0,1.007584717E1
4.602368750E-1,1.328936462E0,2.020648041E0,9.973609772E0
4.701858750E-1,1.389261017E0,2.046394501E0,9.627379761E0
4.801348750E-1,1.380579071E0,2.235601044E0,9.658215637E0
4.900848750E-1,8.650511169E-1,2.713557129E0,9.452992401E0
5.000338750E-1,3.933819580E-1,3.168760529E0,8.909173279E0
5.099828750E-1,4.577481079E-1,3.381468201E0,7.793094177E0
5.199318750E-1,8.297245789E-1,3.418291626E0,6.809040527E0
5.298808750E-1,7.065307617E-1,3.206182709E0,7.080725555E0
5.398308750E-1,2.110610962E-2,2.646795959E0,8.113128662E0
5.497798750E-1,-9.258247375E-1,1.640139313E0,9.441166992E0
5.597288750E-1,-1.507664795E0,7.096742249E-1,9.768536224E0
5.696778750E-1,-1.999092865E0,4.221221924E-1,9.390422516E0
5.796268750E-1,-2.650837555E0,8.960366821E-1,8.213420105E0
5.895768750E-1,-3.057392120E0,1.916315002E0,6.568041687E0
5.995258750E-1,-3.215463409E0,2.821033630E0,6.072422333E0
6.094748750E-1,-2.949915619E0,3.189716949E0,6.731052704E0
6.194238750E-1,-2.382146301E0,3.255430298E0,7.838300171E0
6.293728750E-1,-1.666185150E0,3.115770721E0,8.807534637E0
6.393228750E-1,-1.260528717E0,2.790347443E0,9.323661346E0
6.492718750E-1,-1.176403656E0,2.547702026E0,9.589209137E0
6.592208750E-1,-1.193917236E0,2.398462372E0,1.008617569E1
6.691698750E-1,-1.226100311E0,2.324665833E0,1.140598114E1
6.791198750E-1,-7.467970276E-1,2.250869293E0,1.151839737E1
6.890688750E-1,-8.598120117E-1,2.501747589E0,1.089165070E1
6.990178750E-1,-1.250798950E0,2.754122772E0,9.636510773E0
7.089668750E-1,-1.632954254E0,3.123404846E0,8.767118683E0
7.189158750E-1,-1.659299469E0,3.530258789E0,8.166866913E0
7.288648750E-1,-1.430575104E0,3.802392883E0,7.370223541E0
7.388148750E-1,-9.199868774E-1,4.097728729E0,7.145840149E0
7.487638750E-1,-6.577322388E-1,4.410129089E0,7.772736511E0
7.587128750E-1,-5.252577209E-1,4.690046997E0,8.560548248E0
7.686618750E-1,-3.685336304E-1,5.015470276E0,8.884624329E0
7.786108750E-1,-1.273851013E-1,5.100194092E0,8.654702454E0
7.885608750E-1,-3.540138245E-1,4.897814941E0,8.610244904E0
7.985098750E-1,-1.050365753E0,4.619244232E0,8.463999023E0
8.084588750E-1,-1.884281616E0,4.427792358E0,8.017028503E0
8.184078750E-1,-2.449655914E0,4.330345001E0,7.358098755E0
8.283568750E-1,-2.580483856E0,4.371958466E0,6.817273407E0
8.383068750E-1,-2.407294006E0,4.186943207E0,6.809190216E0
8.482558750E-1,-2.254910889E0,3.571722565E0,7.198530579E0
8.582048750E-1,-2.307152252E0,3.405867462E0,7.544012146E0
8.681541250E-1,-2.607128448E0,3.430416412E0,7.706424408E0
8.781031250E-1,-2.778072968E0,3.332819366E0,7.738008728E0
8.880531250E-1,-3.125201111E0,3.470083923E0,8.025411072E0
8.980021250E-1,-3.260220337E0,3.550167389E0,8.271798706E0
9.079511250E-1,-2.947520599E0,3.350183258E0,8.596174164E0
9.179001250E-1,-2.459984436E0,3.241658936E0,8.861123199E0
9.278491250E-1,-1.946103058E0,3.792663116E0,8.932375031E0
9.377991250E-1,-1.258882141E0,4.074826355E0,8.807534637E0
9.477481250E-1,-1.039588165E0,4.086202698E0,8.767867126E0
9.576971250E-1,-1.073118439E0,4.182153168E0,8.607101440E0
9.676461250E-1,-9.738748169E-1,4.102518768E0,8.797804871E0
9.775951250E-1,-6.870712280E-1,3.768413544E0,9.235195312E0
9.875451250E-1,-5.179229736E-1,3.530558167E0,9.758956146E0
9.974941250E-1,-6.282435608E-1,2.974015503E0,1.098311050E1
1.007443125E0,-6.330335999E-1,2.498903503E0,1.198617462E1
1.017392125E0,-6.282435608E-1,2.469863892E0,1.113444580E1
1.027341125E0,-1.232985992E0,2.647993469E0,1.140178986E1
1.037291125E0,-1.540746002E0,2.977158966E0,1.093640762E1
1.047240125E0,-1.557660828E0,2.876418457E0,1.031190628E1
1.057189125E0,-1.252146149E0,2.994373169E0,9.657916260E0
1.067138125E0,-9.349557495E-1,3.166814575E0,9.054521027E0
1.077087125E0,-7.171586609E-1,3.291505280E0,8.625363464E0
1.087037125E0,-5.447172546E-1,3.448977814E0,8.468938751E0
1.096986125E0,-3.573069763E-1,3.553310852E0,8.845705261E0
1.106935125E0,-1.200503540E-1,3.548071747E0,9.482331390E0
1.116884125E0,4.460723877E-2,3.605552216E0,1.009740234E1
1.126833125E0,5.987548828E-4,3.659140778E0,1.057969940E1
1.136783125E0,-9.610015869E-2,3.646716614E0,1.054182816E1
1.146732125E0,-2.950364685E-1,3.568429413E0,1.018990997E1
1.156681125E0,-5.144801331E-1,3.480562134E0,9.836644592E0
1.166630125E0,-7.403604126E-1,3.434158630E0,9.607770538E0
1.176579125E0,-8.006849670E-1,3.390898590E0,9.663155365E0
1.186529125E0,-6.903643799E-1,3.380570068E0,9.983040161E0
1.196478125E0,-4.939727783E-1,3.403173065E0,1.028496231E1
1.206427125E0,-2.639012146E-1,3.448977814E0,1.043809387E1
1.216376125E0,-1.715432739E-1,3.246299286E0,1.043734543E1
1.226325125E0,-4.490661621E-1,3.210373993E0,1.048090485E1
1.236275125E0,-8.469387817E-1,3.301085358E0,1.075288925E1
1.246224125E0,-1.124311981E0,3.159479828E0,1.114402588E1
1.256173125E0,-1.184935913E0,2.896177368E0,1.130958160E1
1.266122125E0,-1.118174744E0,2.659669189E0,1.122590561E1
1.276071125E0,-9.729766846E-1,2.583926697E0,1.097667389E1
1.286021125E0,-8.134085083E-1,2.546953583E0,1.073313034E1
1.295970125E0,-6.454577637E-1,2.635419617E0,1.056862244E1
1.305919125E0,-4.189787292E-1,2.915038147E0,1.058329193E1
1.315868125E0,-1.959425354E-1,3.173251190E0,1.069316345E1
1.325817125E0,1.240919495E-1,3.320844269E0,1.073163345E1
1.335767125E0,4.358935547E-1,3.271297302E0,1.068058960E1
1.345716125E0,5.445675659E-1,3.070415039E0,1.057984909E1
1.355665125E0,5.749543762E-1,2.819686432E0,1.027448410E1
1.365614125E0,6.249504089E-1,2.502496033E0,9.988279266E0
1.375563125E0,7.256909180E-1,2.178270264E0,9.985435181E0
1.385513125E0,6.574328613E-1,1.897454224E0,9.938133545E0
1.395462125E0,5.062472534E-1,1.768721924E0,9.919123077E0
1.405411125E0,3.098556519E-1,1.755100250E0,1.008887009E1
1.415360125E0,1.797761536E-1,1.706002350E0,1.002734802E1
1.425309125E0,1.196012878E-1,1.627116394E0,9.729617157E0
1.435259125E0,1.405577087E-1,1.557660828E0,9.368867340E0
1.445208125E0,1.688488770E-1,1.472188568E0,8.948691101E0
1.455157125E0,1.787283325E-1,1.449286194E0,8.416847076E0
1.465106125E0,2.189945984E-1,1.508113861E0,7.890242157E0
1.475055125E0,2.853067017E-1,1.585802307E0,7.606582031E0
1.485005125E0,3.712280273E-1,1.742526398E0,7.533084869E0
1.494954125E0,3.664379883E-1,1.874102783E0,7.635322266E0
1.504903125E0,3.727249146E-1,1.926793213E0,8.004155273E0
1.514852125E0,3.402424622E-1,1.848955078E0,8.410560150E0
1.524801125E0,3.158432007E-1,1.727108459E0,8.949140167E0
1.534751125E0,2.606080627E-1,1.706002350E0,9.401649170E0
1.544700125E0,1.076261902E-1,1.791624298E0,9.589508514E0
1.554649125E0,-5.194198608E-2,1.921703796E0,9.465566254E0
1.564598125E0,-2.266287231E-1,2.107617188E0,9.175170135E0
1.574547125E0,-3.376977539E-1,2.333347778E0,9.025182037E0
1.584496125E0,-4.314028931E-1,2.467768250E0,8.932824097E0
1.594446125E0,-5.445675659E-1,2.522254944E0,8.751101990E0
1.604395125E0,-6.486012268E-1,2.524051208E0,8.642427979E0
1.614344125E0,-6.944059753E-1,2.519261169E0,8.676856384E0
1.624293125E0,-6.816824341E-1,2.536026306E0,8.758287048E0
1.634242125E0,-6.749464417E-1,2.571951599E0,8.806786194E0
1.644192125E0,-6.457571411E-1,2.648442535E0,8.799900513E0
1.654141125E0,-5.767506409E-1,2.718047791E0,8.919052734E0
1.664090125E0,-4.995112610E-1,2.837499390E0,9.161698151E0
1.674039125E0,-4.439767456E-1,2.934198303E0,9.351802826E0
1.683988125E0,-3.707789612E-1,3.085234222E0,9.152567139E0
1.693938125E0,-3.411405945E-1,3.261866913E0,8.669371948E0
1.703887125E0,-4.318519592E-1,3.377576294E0,8.263865204E0
1.713836125E0,-6.496490479E-1,3.404819641E0,7.977211304E0
1.723785125E0,-9.026229858E-1,3.410657501E0,7.838000793E0
1.733734125E0,-1.040186920E0,3.423979797E0,7.805069275E0
1.743684125E0,-9.720785522E-1,3.464395752E0,7.762557678E0
1.753633125E0,-8.187973022E-1,3.488944702E0,8.048163757E0
1.763582125E0,-6.797364807E-1,3.466042328E0,8.720415802E0
1.773531125E0,-5.945635986E-1,3.436403961E0,9.295070801E0
1.783480125E0,-6.388714600E-1,3.463048553E0,9.618548126E0
1.793430125E0,-8.220904541E-1,3.564836884E0,9.920619965E0
1.803379125E0,-9.327104187E-1,3.713627472E0,1.005519012E1
1.813328125E0,-8.904981995E-1,3.867806854E0,9.870474243E0
1.823277125E0,-6.715036011E-1,4.032614136E0,9.496701508E0
1.833226125E0,-4.983137512E-1,4.198768616E0,9.139095154E0
